strategy,symbol,risk_pct,trades,annual_return_pct,max_dd_pct,winrate_pct,profit_factor,sharpe,years,final_balance,long_pct,short_pct,trades_per_month,best_month,best_month_pnl,worst_month,worst_month_pnl
regime_switch_hybrid,1000PEPEUSDT,0.25,219,8.74,4.07,39.73,1.6526,1.925,3.0,128630.76,43.4,56.6,6.08,2025-07,4791.78,2024-09,-1628.69
regime_switch_hybrid,1000PEPEUSDT,0.5,219,18.03,7.98,39.73,1.6308,1.925,3.0,164518.47,43.4,56.6,6.08,2025-07,11392.78,2024-09,-3640.32
regime_switch_hybrid,1000PEPEUSDT,0.75,219,27.87,11.75,39.73,1.61,1.925,3.0,209235.93,43.4,56.6,6.08,2025-07,20240.05,2024-09,-6089.32
regime_switch_hybrid,1000PEPEUSDT,1.0,219,38.27,15.38,39.73,1.5902,1.925,3.0,264627.99,43.4,56.6,6.08,2025-07,31845.34,2024-09,-9034.89
momentum_breakout,1000PEPEUSDT,0.25,89,-0.04,3.12,29.21,0.9923,0.0,3.0,99876.15,50.6,49.4,2.47,2024-02,1585.97,2023-06,-1175.23
momentum_breakout,1000PEPEUSDT,0.5,89,-0.13,6.17,29.21,0.9882,0.001,3.0,99614.4,50.6,49.4,2.47,2024-02,3161.11,2023-06,-2359.2
momentum_breakout,1000PEPEUSDT,0.75,89,-0.26,9.14,29.21,0.9841,0.002,3.0,99216.78,50.6,49.4,2.47,2024-02,4724.52,2023-06,-3551.67
momentum_breakout,1000PEPEUSDT,1.0,89,-0.44,12.04,29.21,0.9801,0.002,3.0,98685.87,50.6,49.4,2.47,2024-02,6275.31,2023-06,-4752.37
ema_crossover,1000PEPEUSDT,0.25,196,18.02,1.95,41.84,3.468,0.825,3.0,164475.04,50.0,50.0,5.44,2024-02,39713.98,2024-04,-1647.05
ema_crossover,1000PEPEUSDT,0.5,196,35.42,3.86,41.84,3.1486,0.825,3.0,248620.83,50.0,50.0,5.44,2024-02,82554.18,2024-04,-4377.78
ema_crossover,1000PEPEUSDT,0.75,196,52.67,5.75,41.84,2.9304,0.825,3.0,356336.02,50.0,50.0,5.44,2024-02,128534.9,2025-05,-8437.23
ema_crossover,1000PEPEUSDT,1.0,196,69.98,7.6,41.84,2.7729,0.825,3.0,491988.93,50.0,50.0,5.44,2024-02,177663.54,2025-05,-14338.88
bb_mean_reversion,1000PEPEUSDT,0.25,3246,-69.53,97.34,28.1,0.5763,-5.103,3.0,2816.07,50.6,49.4,90.06,2023-05,2293.71,2023-07,-11609.16
bb_mean_reversion,1000PEPEUSDT,0.5,3246,-88.64,99.87,28.1,0.5959,-5.16,3.0,145.53,50.6,49.4,90.06,2023-05,4496.8,2023-09,-17244.6
bb_mean_reversion,1000PEPEUSDT,0.75,3246,-95.36,99.99,28.1,0.6255,-5.184,3.0,9.88,50.6,49.4,90.06,2023-05,6610.96,2023-07,-20209.42
bb_mean_reversion,1000PEPEUSDT,1.0,3246,-98.02,100.0,28.1,0.6496,-5.243,3.0,0.76,50.6,49.4,90.06,2023-05,8637.9,2023-06,-23549.25
volatility_breakout,1000PEPEUSDT,0.25,271,-4.33,14.42,25.46,0.7579,-1.207,3.0,87563.95,43.9,56.1,7.52,2024-11,3213.55,2025-09,-3139.01
volatility_breakout,1000PEPEUSDT,0.5,271,-8.58,26.99,25.46,0.7551,-1.207,3.0,76370.54,43.9,56.1,7.52,2024-11,6091.55,2025-09,-5818.85
volatility_breakout,1000PEPEUSDT,0.75,271,-12.77,37.92,25.46,0.7523,-1.207,3.0,66345.41,43.9,56.1,7.52,2024-11,8647.01,2025-09,-8068.05
volatility_breakout,1000PEPEUSDT,1.0,271,-16.87,47.39,25.46,0.7496,-1.208,3.0,57410.23,43.9,56.1,7.52,2024-11,10894.07,2025-09,-9917.01
regime_switch_hybrid,AAVEUSDT,0.25,104,11.64,2.9,38.46,1.7509,1.802,1.3,115360.43,49.0,51.0,6.68,2025-10,4446.0,2025-08,-2241.65
regime_switch_hybrid,AAVEUSDT,0.5,104,24.17,5.74,38.46,1.7406,1.801,1.3,132424.86,49.0,51.0,6.68,2025-10,9309.3,2025-08,-4748.08
regime_switch_hybrid,AAVEUSDT,0.75,104,37.6,8.51,38.46,1.7301,1.801,1.3,151299.39,49.0,51.0,6.68,2025-10,14593.9,2025-08,-7532.81
regime_switch_hybrid,AAVEUSDT,1.0,104,51.96,11.21,38.46,1.7193,1.8,1.3,172086.8,49.0,51.0,6.68,2025-10,20301.4,2025-08,-10609.06
momentum_breakout,AAVEUSDT,0.25,42,-1.96,3.44,23.81,0.6914,-1.017,1.3,97468.08,50.0,50.0,2.7,2025-08,591.78,2026-02,-1258.86
momentum_breakout,AAVEUSDT,0.5,42,-3.92,6.81,23.81,0.6894,-1.016,1.3,94947.77,50.0,50.0,2.7,2025-08,1164.54,2026-02,-2472.05
momentum_breakout,AAVEUSDT,0.75,42,-5.88,10.1,23.81,0.6874,-1.016,1.3,92441.78,50.0,50.0,2.7,2025-08,1718.22,2026-02,-3638.98
momentum_breakout,AAVEUSDT,1.0,42,-7.84,13.32,23.81,0.6854,-1.016,1.3,89952.71,50.0,50.0,2.7,2025-08,2252.77,2026-02,-4759.17
ema_crossover,AAVEUSDT,0.25,85,0.54,1.63,37.65,1.0726,0.25,1.3,100700.06,50.6,49.4,5.46,2025-12,1374.83,2025-01,-799.45
ema_crossover,AAVEUSDT,0.5,85,1.0,3.24,37.65,1.0673,0.248,1.3,101296.92,50.6,49.4,5.46,2025-12,2727.51,2025-01,-1596.11
ema_crossover,AAVEUSDT,0.75,85,1.38,4.83,37.65,1.062,0.246,1.3,101790.26,50.6,49.4,5.46,2025-12,4055.94,2025-01,-2389.96
ema_crossover,AAVEUSDT,1.0,85,1.81,6.41,37.65,1.0614,0.256,1.3,102350.12,50.6,49.4,5.46,2025-12,5367.08,2025-01,-3019.89
bb_mean_reversion,AAVEUSDT,0.25,1322,-74.47,82.99,27.84,0.5507,-7.007,1.3,17011.4,51.1,48.9,84.92,2026-04,-1297.4,2025-06,-10040.09
bb_mean_reversion,AAVEUSDT,0.5,1322,-90.65,95.38,27.84,0.6035,-6.461,1.3,4619.99,51.1,48.9,84.92,2026-04,-671.07,2025-01,-13822.04
bb_mean_reversion,AAVEUSDT,0.75,1322,-95.95,98.44,27.84,0.6402,-6.016,1.3,1562.24,51.1,48.9,84.92,2026-04,-326.36,2025-01,-19018.12
bb_mean_reversion,AAVEUSDT,1.0,1322,-98.07,99.4,27.84,0.6658,-5.665,1.3,597.0,51.1,48.9,84.92,2026-04,-156.38,2025-01,-23022.33
volatility_breakout,AAVEUSDT,0.25,135,-1.21,6.69,30.37,0.9382,-0.279,1.3,98427.82,43.0,57.0,8.67,2026-03,2598.24,2025-12,-2370.75
volatility_breakout,AAVEUSDT,0.5,135,-2.58,12.99,30.37,0.9333,-0.279,1.3,96671.49,43.0,57.0,8.67,2026-03,5029.0,2025-12,-4535.57
volatility_breakout,AAVEUSDT,0.75,135,-4.08,18.91,30.37,0.9283,-0.279,1.3,94743.02,43.0,57.0,8.67,2026-03,7286.77,2025-12,-6499.03
volatility_breakout,AAVEUSDT,1.0,135,-5.71,24.48,30.37,0.9233,-0.279,1.3,92655.19,43.0,57.0,8.67,2026-03,9367.66,2025-12,-8266.55
regime_switch_hybrid,ADAUSDT,0.25,243,9.83,3.5,40.74,1.6327,2.046,3.0,132518.8,37.4,62.6,6.74,2025-12,4049.58,2025-04,-2678.84
regime_switch_hybrid,ADAUSDT,0.5,243,20.35,6.89,40.74,1.6144,2.045,3.0,174448.4,37.4,62.6,6.74,2025-12,10167.91,2025-04,-6442.49
regime_switch_hybrid,ADAUSDT,0.75,243,31.6,10.2,40.74,1.5974,2.045,3.0,228139.03,37.4,62.6,6.74,2025-12,19041.84,2025-04,-11572.02
regime_switch_hybrid,ADAUSDT,1.0,243,43.59,13.41,40.74,1.5816,2.044,3.0,296418.67,37.4,62.6,6.74,2025-12,31524.83,2025-04,-18400.1
momentum_breakout,ADAUSDT,0.25,91,-0.34,4.07,28.57,0.9386,-0.132,3.0,98967.58,56.0,44.0,2.52,2024-11,1610.77,2023-11,-2334.46
momentum_breakout,ADAUSDT,0.5,91,-0.73,8.01,28.57,0.9348,-0.132,3.0,97809.45,56.0,44.0,2.52,2024-11,3246.21,2023-11,-4640.36
momentum_breakout,ADAUSDT,0.75,91,-1.17,11.83,28.57,0.9311,-0.132,3.0,96531.18,56.0,44.0,2.52,2024-11,4902.71,2023-11,-6917.11
momentum_breakout,ADAUSDT,1.0,91,-1.65,15.52,28.57,0.9274,-0.132,3.0,95138.7,56.0,44.0,2.52,2024-11,6576.56,2023-11,-9164.1
ema_crossover,ADAUSDT,0.25,240,1.43,3.71,32.5,1.1446,0.318,3.0,104352.18,50.0,50.0,6.66,2024-11,5521.71,2026-04,-1870.53
ema_crossover,ADAUSDT,0.5,240,2.65,7.38,32.5,1.1307,0.318,3.0,108175.57,50.0,50.0,6.66,2024-11,11218.57,2026-04,-3896.86
ema_crossover,ADAUSDT,0.75,240,3.67,11.01,32.5,1.1178,0.318,3.0,111442.11,50.0,50.0,6.66,2024-11,17052.76,2026-04,-6051.73
ema_crossover,ADAUSDT,1.0,240,4.63,14.25,32.5,1.1093,0.324,3.0,114574.02,50.0,50.0,6.66,2024-11,22986.11,2026-04,-8338.15
bb_mean_reversion,ADAUSDT,0.25,3316,-84.78,99.65,27.17,0.3741,-8.865,3.0,350.38,53.0,47.0,92.01,2024-03,314.76,2023-06,-18319.13
bb_mean_reversion,ADAUSDT,0.5,3316,-96.4,100.0,27.17,0.3709,-8.323,3.0,4.62,53.0,47.0,92.01,2024-03,178.77,2023-06,-31257.32
bb_mean_reversion,ADAUSDT,0.75,3316,-98.91,100.0,27.17,0.3651,-7.761,3.0,0.13,53.0,47.0,92.01,2024-03,103.96,2023-06,-40821.38
bb_mean_reversion,ADAUSDT,1.0,3316,-99.62,100.0,27.17,0.3693,-7.392,3.0,0.01,53.0,47.0,92.01,2024-03,68.0,2023-06,-47423.48
volatility_breakout,ADAUSDT,0.25,290,0.14,6.36,32.41,1.0077,0.055,3.0,100421.96,46.9,53.1,8.05,2024-01,2724.67,2025-09,-2616.34
volatility_breakout,ADAUSDT,0.5,290,0.12,12.36,32.41,1.0033,0.055,3.0,100361.09,46.9,53.1,8.05,2024-01,5465.85,2025-09,-5268.68
volatility_breakout,ADAUSDT,0.75,290,-0.06,18.02,32.41,0.9989,0.055,3.0,99821.18,46.9,53.1,8.05,2024-01,8215.27,2025-09,-7928.07
volatility_breakout,ADAUSDT,1.0,290,-0.4,23.34,32.41,0.9945,0.055,3.0,98812.78,46.9,53.1,8.05,2024-01,10964.64,2025-09,-10565.45
regime_switch_hybrid,ALICEUSDT,0.25,116,5.48,2.88,34.48,1.3161,1.145,1.3,107165.31,35.3,64.7,7.45,2025-11,2765.52,2026-03,-1551.12
