pairs,risk_pct,annual_return_pct,mtm_dd_pct,realized_dd_pct,profit_factor,sharpe,winrate_pct,trades,years,final_balance
ENSUSDT+SNXUSDT+ARBUSDT,0.7,244.73,15.07,13.95,2.156,4.284,45.35,333,1.27,483400.11
ENSUSDT+SNXUSDT+DOTUSDT,0.7,253.55,11.93,10.66,2.017,4.457,45.09,346,1.27,499549.61
ENSUSDT+SNXUSDT+ATOMUSDT,0.7,257.81,13.41,11.64,2.146,4.535,45.43,350,1.28,510349.09
ENSUSDT+SNXUSDT+AVAXUSDT,0.7,180.19,12.76,11.72,1.897,3.876,42.77,332,1.27,370740.6
ENSUSDT+SNXUSDT+APTUSDT,0.7,232.74,14.26,12.85,2.02,4.291,44.48,344,1.27,461704.84
ENSUSDT+SNXUSDT+INJUSDT,0.7,228.83,10.23,9.61,1.905,4.223,43.97,348,1.28,459294.96
ENSUSDT+SNXUSDT+OPUSDT,0.7,225.29,20.25,19.15,2.016,4.193,43.87,351,1.27,449269.78
ENSUSDT+SNXUSDT+TIAUSDT,0.7,214.79,11.94,10.84,1.932,4.055,43.23,347,1.27,431495.48
ENSUSDT+ARBUSDT+DOTUSDT,0.7,237.77,11.72,11.29,2.01,4.329,44.64,345,1.27,470486.3
ENSUSDT+ARBUSDT+ATOMUSDT,0.7,239.84,12.24,12.01,2.129,4.281,44.99,349,1.28,477880.96
ENSUSDT+ARBUSDT+AVAXUSDT,0.7,167.0,12.65,12.29,1.886,3.662,42.3,331,1.27,348017.21
ENSUSDT+ARBUSDT+APTUSDT,0.7,217.57,14.71,14.3,2.011,4.154,44.02,343,1.27,433783.16
ENSUSDT+ARBUSDT+INJUSDT,0.7,213.59,9.44,8.74,1.901,4.099,43.52,347,1.28,432205.48
ENSUSDT+ARBUSDT+OPUSDT,0.7,212.51,19.41,18.72,1.998,3.9,43.43,350,1.26,420073.4
ENSUSDT+ARBUSDT+TIAUSDT,0.7,199.99,11.33,9.91,1.92,3.85,42.77,346,1.27,405349.17
ENSUSDT+DOTUSDT+ATOMUSDT,0.7,247.51,12.49,11.62,2.0,4.247,44.75,362,1.28,492053.89
ENSUSDT+DOTUSDT+AVAXUSDT,0.7,173.22,10.13,9.43,1.786,3.802,42.15,344,1.27,359215.03
ENSUSDT+DOTUSDT+APTUSDT,0.7,224.43,11.44,10.76,1.893,4.154,43.82,356,1.27,446962.54
ENSUSDT+DOTUSDT+INJUSDT,0.7,221.73,11.1,9.7,1.799,4.184,43.33,360,1.28,446621.95
ENSUSDT+DOTUSDT+OPUSDT,0.7,217.51,16.51,15.54,1.891,3.956,43.25,363,1.27,434877.01
ENSUSDT+DOTUSDT+TIAUSDT,0.7,207.87,9.81,8.52,1.817,3.966,42.62,359,1.27,418946.69
ENSUSDT+ATOMUSDT+AVAXUSDT,0.7,175.89,14.25,12.42,1.88,3.82,42.53,348,1.28,366018.85
ENSUSDT+ATOMUSDT+APTUSDT,0.7,227.11,10.71,10.25,1.997,4.164,44.17,360,1.28,455041.32
ENSUSDT+ATOMUSDT+INJUSDT,0.7,226.01,13.08,10.05,1.891,4.175,43.68,364,1.28,454252.61
ENSUSDT+ATOMUSDT+OPUSDT,0.7,219.53,19.59,18.87,1.989,3.99,43.6,367,1.28,441967.03
ENSUSDT+ATOMUSDT+TIAUSDT,0.7,210.38,11.04,9.26,1.913,3.938,42.98,363,1.28,426449.39
ENSUSDT+AVAXUSDT+APTUSDT,0.7,157.2,10.7,9.35,1.777,3.643,41.52,342,1.27,331669.22
ENSUSDT+AVAXUSDT+INJUSDT,0.7,154.5,12.81,11.73,1.694,3.554,41.04,346,1.28,330799.59
ENSUSDT+AVAXUSDT+OPUSDT,0.7,151.26,19.49,18.85,1.769,3.397,40.97,349,1.27,322346.74
ENSUSDT+AVAXUSDT+TIAUSDT,0.7,143.24,11.6,9.36,1.702,3.323,40.29,345,1.27,310309.1
ENSUSDT+APTUSDT+INJUSDT,0.7,202.48,10.16,9.73,1.796,3.986,42.74,358,1.28,412689.39
ENSUSDT+APTUSDT+OPUSDT,0.7,198.45,16.19,15.27,1.885,3.884,42.66,361,1.27,401137.98
