pairs,oos_annual,oos_mtm_dd,oos_pf,oos_trades,oos_years,is_annual,is_mtm_dd,is_pf,is_trades,is_years
ENSUSDT+SNXUSDT+ARBUSDT,226.41,15.07,1.979,362,1.39,99.52,20.06,1.502,362,1.58
ENSUSDT+SNXUSDT+DOTUSDT,226.53,11.93,1.865,372,1.39,106.21,18.8,1.527,371,1.58
ENSUSDT+SNXUSDT+ATOMUSDT,231.29,13.41,1.973,380,1.41,106.28,13.71,1.55,391,1.57
ENSUSDT+SNXUSDT+AVAXUSDT,160.84,12.76,1.749,356,1.39,98.25,14.76,1.5,379,1.57
ENSUSDT+SNXUSDT+APTUSDT,212.93,14.26,1.908,368,1.39,129.19,14.57,1.626,390,1.58
ENSUSDT+SNXUSDT+INJUSDT,214.06,10.23,1.798,379,1.4,105.66,13.54,1.537,383,1.58
ENSUSDT+SNXUSDT+OPUSDT,204.24,20.25,1.843,383,1.39,97.44,15.36,1.489,378,1.57
ENSUSDT+SNXUSDT+TIAUSDT,190.93,11.94,1.799,374,1.41,100.29,14.91,1.523,359,1.57
ENSUSDT+ARBUSDT+DOTUSDT,217.36,11.72,1.851,373,1.38,95.18,17.41,1.564,340,1.58
ENSUSDT+ARBUSDT+ATOMUSDT,219.82,12.24,1.95,381,1.4,94.23,18.77,1.582,360,1.58
ENSUSDT+ARBUSDT+AVAXUSDT,152.56,12.65,1.735,357,1.38,87.31,15.77,1.53,348,1.58
ENSUSDT+ARBUSDT+APTUSDT,203.38,14.71,1.891,369,1.38,116.68,13.35,1.674,359,1.58
ENSUSDT+ARBUSDT+INJUSDT,203.13,9.82,1.788,380,1.4,94.2,12.4,1.569,352,1.58
ENSUSDT+ARBUSDT+OPUSDT,194.25,19.41,1.824,384,1.38,85.88,13.77,1.514,347,1.58
ENSUSDT+ARBUSDT+TIAUSDT,181.25,11.33,1.782,375,1.4,88.77,13.63,1.557,328,1.58
ENSUSDT+DOTUSDT+ATOMUSDT,219.88,12.49,1.846,391,1.4,100.66,14.96,1.608,369,1.58
ENSUSDT+DOTUSDT+AVAXUSDT,153.31,10.13,1.647,367,1.38,93.0,13.07,1.554,357,1.58
ENSUSDT+DOTUSDT+APTUSDT,204.15,11.44,1.786,379,1.38,123.7,12.43,1.7,368,1.58
ENSUSDT+DOTUSDT+INJUSDT,203.36,11.1,1.697,390,1.4,100.52,12.8,1.596,361,1.58
ENSUSDT+DOTUSDT+OPUSDT,195.73,16.51,1.736,394,1.38,92.22,13.48,1.542,356,1.58
ENSUSDT+DOTUSDT+TIAUSDT,181.57,11.25,1.692,385,1.4,94.5,14.57,1.581,337,1.58
ENSUSDT+ATOMUSDT+AVAXUSDT,156.24,14.25,1.731,375,1.4,92.69,16.51,1.576,377,1.57
ENSUSDT+ATOMUSDT+APTUSDT,206.65,10.71,1.882,387,1.4,122.77,14.31,1.73,388,1.58
ENSUSDT+ATOMUSDT+INJUSDT,210.5,13.08,1.782,398,1.41,99.96,12.33,1.618,381,1.58
ENSUSDT+ATOMUSDT+OPUSDT,197.88,19.59,1.817,402,1.4,92.1,12.19,1.564,376,1.57
ENSUSDT+ATOMUSDT+TIAUSDT,188.48,11.04,1.779,393,1.4,94.91,13.89,1.608,357,1.57
ENSUSDT+AVAXUSDT+APTUSDT,142.39,10.7,1.671,363,1.38,114.64,12.69,1.668,376,1.58
ENSUSDT+AVAXUSDT+INJUSDT,142.41,12.81,1.597,374,1.4,92.27,13.29,1.563,369,1.58
ENSUSDT+AVAXUSDT+OPUSDT,135.51,19.49,1.624,378,1.38,84.92,13.78,1.511,364,1.57
ENSUSDT+AVAXUSDT+TIAUSDT,124.95,11.6,1.582,369,1.4,87.08,12.74,1.548,345,1.57
ENSUSDT+APTUSDT+INJUSDT,190.57,10.16,1.726,386,1.4,122.84,10.96,1.712,380,1.58
ENSUSDT+APTUSDT+OPUSDT,182.81,16.19,1.764,390,1.38,113.64,11.22,1.653,375,1.58
ENSUSDT+APTUSDT+TIAUSDT,169.32,10.29,1.718,381,1.4,116.23,11.46,1.697,356,1.58
ENSUSDT+INJUSDT+OPUSDT,182.12,17.31,1.681,401,1.4,91.22,15.07,1.548,368,1.58
ENSUSDT+INJUSDT+TIAUSDT,173.62,11.37,1.643,392,1.41,93.93,9.18,1.593,349,1.58
ENSUSDT+OPUSDT+TIAUSDT,162.0,16.18,1.674,396,1.4,86.47,11.21,1.537,344,1.57
SNXUSDT+ARBUSDT+DOTUSDT,193.15,11.43,1.926,342,1.39,114.25,17.18,1.567,361,1.57
SNXUSDT+ARBUSDT+ATOMUSDT,198.04,12.6,2.043,350,1.41,113.26,11.53,1.592,381,1.58
SNXUSDT+ARBUSDT+AVAXUSDT,134.0,12.34,1.786,326,1.39,105.29,11.44,1.538,369,1.58
SNXUSDT+ARBUSDT+APTUSDT,180.72,13.83,1.971,338,1.39,137.68,14.41,1.667,380,1.57
SNXUSDT+ARBUSDT+INJUSDT,182.66,9.02,1.854,349,1.4,113.4,13.51,1.575,373,1.58
SNXUSDT+ARBUSDT+OPUSDT,172.76,13.52,1.892,353,1.39,104.06,14.6,1.525,368,1.58
SNXUSDT+ARBUSDT+TIAUSDT,161.31,13.05,1.844,344,1.41,107.33,16.69,1.565,349,1.58
SNXUSDT+DOTUSDT+ATOMUSDT,196.47,11.96,1.916,360,1.41,120.1,15.71,1.615,390,1.58
SNXUSDT+DOTUSDT+AVAXUSDT,133.2,12.49,1.682,336,1.39,111.32,14.3,1.56,378,1.58
SNXUSDT+DOTUSDT+APTUSDT,179.44,12.6,1.844,348,1.39,145.15,13.4,1.69,389,1.57
SNXUSDT+DOTUSDT+INJUSDT,182.02,9.05,1.745,359,1.4,120.13,16.69,1.598,382,1.58
SNXUSDT+DOTUSDT+OPUSDT,172.24,12.18,1.787,363,1.39,110.81,14.25,1.55,377,1.58
SNXUSDT+DOTUSDT+TIAUSDT,160.8,10.06,1.736,354,1.41,113.42,13.76,1.586,358,1.58
SNXUSDT+ATOMUSDT+AVAXUSDT,138.18,14.06,1.779,344,1.41,111.29,9.47,1.588,398,1.57
SNXUSDT+ATOMUSDT+APTUSDT,184.7,11.36,1.957,356,1.41,144.14,11.95,1.727,409,1.58
SNXUSDT+ATOMUSDT+INJUSDT,190.14,11.6,1.844,367,1.41,119.74,9.98,1.627,402,1.58
SNXUSDT+ATOMUSDT+OPUSDT,177.06,10.74,1.882,371,1.41,111.06,8.42,1.578,397,1.57
SNXUSDT+ATOMUSDT+TIAUSDT,168.56,11.42,1.837,362,1.41,114.26,10.17,1.62,378,1.57
SNXUSDT+AVAXUSDT+APTUSDT,123.57,10.64,1.707,332,1.39,134.81,11.47,1.664,397,1.58
SNXUSDT+AVAXUSDT+INJUSDT,125.74,13.85,1.626,343,1.4,110.92,11.53,1.571,390,1.58
SNXUSDT+AVAXUSDT+OPUSDT,117.63,10.86,1.654,347,1.39,102.82,11.31,1.524,385,1.57
SNXUSDT+AVAXUSDT+TIAUSDT,108.87,11.7,1.606,338,1.41,105.23,14.97,1.559,366,1.57
SNXUSDT+APTUSDT+INJUSDT,170.52,9.93,1.776,355,1.4,144.42,13.22,1.704,401,1.58
SNXUSDT+APTUSDT+OPUSDT,160.83,12.74,1.817,359,1.39,134.09,11.28,1.651,396,1.58
SNXUSDT+APTUSDT+TIAUSDT,149.86,11.62,1.763,350,1.41,137.05,17.46,1.692,377,1.58
