rank,variant,pairs,risk_pct,conc,oos_annual,oos_dd,is_annual,is_dd,oos_pf,oos_sharpe,oos_trades
1,rr20f5,SNX+TON+BCH+ETH+VET,0.6,4,257.1,7.2,121.3,7.94,2.0,5.96,591
2,rr20f5,1000PEPE+SNX+TON+ETH+VET,0.7,2,247.0,7.7,148.3,7.42,1.91,5.5,525
3,rr18f5,1000PEPE+BNB+BCH+ETH+VET,0.7,3,244.0,7.58,124.7,7.94,1.82,5.3,598
4,rr18f5,1000PEPE+BNB+TON+BCH+VET,0.7,2,242.5,6.25,105.4,7.9,1.85,5.53,573
5,rr18f5,1000PEPE+APT+TON+LTC+VET,0.6,4,236.7,7.23,118.3,7.86,1.88,5.63,649
6,rr18f5,SNX+BNB+TON+BCH+ETH,0.6,4,234.8,7.48,94.5,7.95,1.98,6.05,580
7,rr18f5,1000PEPE+SNX+BNB+TON+LTC,0.6,4,224.4,6.35,95.5,7.83,1.83,5.5,624
8,rr18f5,TON+BCH+LTC+DOGE+VET,0.6,2,222.5,5.39,98.0,7.98,1.99,6.48,563
9,rr20f5,SNX+BNB+TON+ETH+VET,0.6,2,221.6,5.89,89.2,7.99,1.98,5.78,557
10,rr20f5,SNX+BNB+TON+BCH+VET,0.6,2,220.8,6.33,100.9,7.41,1.97,5.84,557
