pairs,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf,is_trades,passes
1000PEPE+ADA+APT,92.0,6.93,1.61,3.06,346,112.5,10.01,1.75,368,no
1000PEPE+ADA+BCH,87.7,10.61,1.65,3.08,326,95.9,11.79,1.74,340,no
1000PEPE+ADA+BNB,86.8,10.05,1.55,2.78,349,70.6,12.87,1.53,336,no
1000PEPE+ADA+BTC,61.4,11.26,1.40,2.32,333,57.0,21.22,1.44,333,no
1000PEPE+ADA+DOGE,92.2,9.01,1.58,2.88,348,78.0,10.28,1.58,334,no
1000PEPE+ADA+ENS,118.8,14.79,1.67,3.28,370,83.1,14.75,1.57,350,no
1000PEPE+ADA+ETH,103.1,10.31,1.73,3.17,329,78.5,10.31,1.61,322,no
1000PEPE+ADA+HBAR,65.5,9.9,1.45,2.53,335,85.7,14.14,1.55,371,no
1000PEPE+ADA+LTC,105.5,9.8,1.65,3.3,355,77.3,10.6,1.52,355,no
1000PEPE+ADA+SNX,105.6,7.7,1.70,3.35,339,98.3,16.33,1.58,371,no
1000PEPE+ADA+TON,103.1,9.91,1.68,3.42,343,82.8,11.76,1.62,322,no
1000PEPE+ADA+VET,77.7,9.77,1.51,2.63,366,80.9,18.58,1.57,354,no
1000PEPE+ADA+WLD,92.2,9.64,1.61,3.11,350,68.9,14.21,1.50,342,no
1000PEPE+ADA+XRP,91.0,10.81,1.59,2.96,339,68.4,15.11,1.54,322,no
1000PEPE+APT+BCH,99.6,7.69,1.73,3.44,327,110.3,9.14,1.90,348,no
1000PEPE+APT+BNB,99.0,12.27,1.62,3.19,350,83.0,10.56,1.66,344,no
1000PEPE+APT+BTC,71.8,8.33,1.46,2.78,334,68.2,20.23,1.56,341,no
1000PEPE+APT+DOGE,104.7,9.62,1.66,3.26,349,91.0,10.63,1.71,342,no
1000PEPE+APT+ENS,132.8,10.76,1.74,3.6,371,96.4,15.07,1.70,358,no
1000PEPE+APT+ETH,116.2,7.96,1.82,3.52,330,91.3,12.09,1.75,330,no
1000PEPE+APT+HBAR,75.9,10.63,1.51,2.82,336,99.2,11.84,1.67,379,no
1000PEPE+APT+LTC,118.3,9.75,1.73,3.65,356,90.1,13.73,1.63,363,no
1000PEPE+APT+SNX,118.5,9.08,1.78,3.68,340,112.7,11.83,1.70,379,no
1000PEPE+APT+TON,116.1,7.94,1.76,3.78,344,95.9,8.72,1.75,330,no
1000PEPE+APT+VET,89.2,9.61,1.58,3.02,367,94.1,15.41,1.70,362,no
1000PEPE+APT+WLD,104.0,9.83,1.68,3.38,351,80.7,14.54,1.61,350,no
1000PEPE+APT+XRP,103.4,8.24,1.67,3.33,340,80.7,12.76,1.67,330,no
1000PEPE+BCH+BNB,94.6,10.46,1.66,3.2,330,68.7,12.25,1.63,316,no
1000PEPE+BCH+BTC,68.0,11.66,1.48,2.71,314,54.9,18.45,1.52,313,no
1000PEPE+BCH+DOGE,100.5,7.67,1.70,3.38,329,76.1,10.51,1.68,314,no
1000PEPE+BCH+ENS,128.1,13.23,1.79,3.72,351,80.7,15.1,1.68,330,no
1000PEPE+BCH+ETH,111.7,8.99,1.87,3.65,310,76.5,10.23,1.72,302,no
1000PEPE+BCH+HBAR,72.3,9.28,1.54,2.93,316,83.5,8.05,1.65,351,no
1000PEPE+BCH+LTC,113.8,9.15,1.77,3.66,336,75.1,13.5,1.61,335,no
1000PEPE+BCH+SNX,114.0,10.75,1.83,3.79,320,96.5,13.24,1.69,351,no
1000PEPE+BCH+TON,111.4,8.7,1.81,3.74,324,80.6,9.17,1.74,302,no
1000PEPE+BCH+VET,85.2,9.67,1.62,3.04,347,79.3,12.46,1.68,334,no
1000PEPE+BCH+WLD,100.0,8.86,1.73,3.51,331,66.9,13.36,1.58,322,no
1000PEPE+BCH+XRP,98.9,9.25,1.71,3.4,320,66.3,13.83,1.64,302,no
1000PEPE+BNB+BTC,67.4,11.44,1.41,2.48,337,34.9,22.16,1.32,309,no
1000PEPE+BNB+DOGE,99.2,14.03,1.59,2.97,352,53.1,13.49,1.47,310,no
1000PEPE+BNB+ENS,126.8,13.4,1.66,3.38,374,57.3,20.82,1.47,326,no
1000PEPE+BNB+ETH,110.7,11.82,1.73,3.31,333,53.5,13.76,1.50,298,no
1000PEPE+BNB+HBAR,71.6,17.09,1.46,2.65,339,59.8,12.86,1.46,347,no
1000PEPE+BNB+LTC,112.5,11.06,1.65,3.25,359,52.5,14.18,1.42,331,no
1000PEPE+BNB+SNX,112.8,11.46,1.69,3.41,343,71.0,16.06,1.50,347,no
1000PEPE+BNB+TON,110.8,7.77,1.69,3.48,347,57.2,13.59,1.51,298,no
1000PEPE+BNB+VET,84.2,12.71,1.52,2.76,370,56.0,18.16,1.47,330,no
1000PEPE+BNB+WLD,99.0,10.59,1.61,3.19,354,45.1,17.44,1.39,318,no
1000PEPE+BNB+XRP,98.0,12.78,1.60,3.04,343,45.0,16.04,1.42,298,no
1000PEPE+BTC+DOGE,72.2,8.96,1.44,2.57,336,40.7,18.73,1.37,307,no
1000PEPE+BTC+ENS,95.6,10.56,1.51,2.91,358,44.8,24.97,1.38,323,no
