label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf
rr28,APT+BCH+DOGE,0.65,2,161.4,7.26,2.02,4.59,328,101.9,7.89,1.81
perpair,APT+BCH+TON,0.6,3,159.4,6.95,2.07,4.64,345,92.9,7.65,1.71
rr28,BCH+ETH+LTC,0.65,2,158.4,6.73,2.06,4.73,322,71.4,7.85,1.61
perpair,APT+BCH+TON,0.6,2,157.0,7.7,2.10,4.79,327,98.6,7.65,1.80
perpair,APT+DOGE+XRP,0.6,2,155.8,6.18,1.86,4.35,353,75.8,7.73,1.58
perpair,APT+BCH+ETH,0.55,2,154.3,7.43,2.16,5.0,337,87.2,7.84,1.75
perpair,ETH+LTC+TON,0.6,2,151.2,7.87,2.06,4.5,307,64.5,7.66,1.54
perpair,1000PEPE+BCH+TON,0.6,3,147.3,7.47,1.96,4.25,355,84.7,7.58,1.64
rr28,ADA+ETH+LTC,0.65,2,146.5,7.63,1.93,4.35,332,61.6,7.37,1.48
perpair,BCH+ETH+TON,0.5,3,143.6,7.67,2.13,4.93,344,67.2,6.2,1.66
rr28,APT+BCH+DOGE,0.6,2,143.2,6.72,2.02,4.59,328,91.5,7.31,1.81
perpair,DOGE+ETH+TON,0.55,2,142.5,6.11,1.97,4.22,338,62.7,7.65,1.56
perpair,BNB+TON+XRP,0.55,2,142.2,6.92,2.00,4.31,313,45.5,7.43,1.50
perpair,ETH+SNX+TON,0.5,3,141.3,7.53,2.03,4.52,356,69.8,7.28,1.55
default,APT+ENS+TON,0.55,2,141.1,6.74,1.92,4.5,354,84.0,7.98,1.75
rr28,BCH+ETH+LTC,0.6,3,141.1,6.23,2.03,4.66,328,65.2,7.72,1.59
rr28,BCH+ETH+SNX,0.65,2,140.9,7.48,2.03,4.47,304,103.3,7.42,1.77
perpair,DOGE+ETH+TON,0.5,3,140.9,5.49,1.97,4.4,368,53.6,7.99,1.51
rr28,BCH+ETH+LTC,0.6,2,140.6,6.23,2.06,4.73,322,64.6,7.26,1.61
perpair,BCH+ETH+TON,0.5,2,140.2,7.67,2.14,5.04,333,65.6,6.37,1.68
perpair,APT+BCH+TON,0.55,3,140.0,6.39,2.06,4.64,345,82.9,7.03,1.72
perpair,BNB+ETH+TON,0.5,3,139.9,6.13,2.06,4.72,327,46.7,7.6,1.53
perpair,ETH+LTC+TON,0.55,3,138.8,6.68,2.01,4.48,324,60.8,7.69,1.54
perpair,APT+BCH+TON,0.55,2,138.0,7.08,2.10,4.79,327,87.9,7.03,1.79
perpair,APT+DOGE+XRP,0.55,2,137.1,5.68,1.86,4.35,353,68.0,7.11,1.58
rr28,BCH+DOGE+TON,0.6,2,137.0,7.68,1.99,4.51,325,71.2,7.99,1.71
perpair,1000PEPE+BCH+TON,0.6,2,136.5,6.78,1.95,4.21,343,83.8,7.95,1.66
perpair,APT+ETH+SNX,0.5,3,136.0,6.02,2.00,4.49,364,87.1,7.7,1.64
rr28,APT+ENS+TON,0.5,3,135.2,6.96,2.02,4.88,378,54.3,7.95,1.57
perpair,1000PEPE+SNX+TON,0.55,2,135.2,7.81,1.96,4.42,350,77.3,7.91,1.54
rr28,ADA+ETH+LTC,0.6,3,134.6,7.54,1.90,4.27,347,62.1,7.78,1.49
rr28,BNB+ETH+TON,0.6,3,134.6,7.5,1.89,4.19,343,44.6,7.78,1.47
perpair,APT+BCH+ETH,0.5,2,134.0,6.78,2.16,5.0,337,77.2,7.14,1.74
perpair,ETH+LTC+TON,0.55,2,133.1,7.23,2.06,4.5,307,58.0,7.03,1.54
perpair,APT+DOGE+XRP,0.55,3,132.7,6.96,1.81,4.1,370,69.0,7.71,1.56
thr06,1000PEPE+ETH+TON,0.55,2,132.6,6.75,1.93,4.27,354,67.0,7.88,1.58
rr28,BCH+DOGE+TON,0.6,3,132.3,7.68,1.92,4.32,335,73.9,7.99,1.72
rr28,APT+BCH+DOGE,0.6,3,132.3,6.72,1.92,4.34,337,94.5,7.69,1.80
rr28,BCH+ETH+VET,0.65,3,131.5,7.49,1.89,4.2,339,79.6,7.63,1.67
rr28,DOGE+TON+XRP,0.65,2,130.5,7.87,1.79,3.9,332,59.4,7.53,1.56
perpair,ETH+TON+XRP,0.45,2,130.5,6.61,2.14,4.59,326,50.7,7.33,1.62
perpair,APT+ETH+XRP,0.45,2,130.4,5.98,2.13,4.78,334,57.8,7.56,1.67
rr28,ADA+ETH+LTC,0.6,2,130.4,7.06,1.93,4.35,332,56.0,6.81,1.49
rr28,APT+ENS+TON,0.5,2,130.3,6.34,2.03,4.89,361,54.1,7.62,1.58
perpair,APT+TON+XRP,0.5,2,130.0,6.04,2.08,4.82,325,61.1,7.92,1.66
perpair,1000PEPE+BCH+TON,0.55,3,129.8,6.86,1.95,4.25,355,75.7,6.96,1.64
thr06,APT+BCH+ETH,0.55,2,129.0,7.47,1.99,4.46,349,82.0,7.78,1.68
rr28,BNB+ETH+TON,0.6,2,128.7,7.5,1.92,4.22,330,46.1,7.78,1.50
rr28,APT+ETH+LTC,0.55,2,128.0,4.76,2.03,4.51,335,54.9,7.97,1.53
perpair,APT+ETH+SNX,0.5,2,127.8,6.65,2.00,4.51,346,75.9,7.9,1.61
rr28,BCH+DOGE+VET,0.65,2,127.6,7.58,1.83,4.02,345,72.9,7.63,1.62
rr28,BCH+LTC+SNX,0.55,2,127.4,7.38,2.03,4.76,330,78.0,7.96,1.65
perpair,ADA+ETH+TON,0.5,3,127.0,7.28,1.98,4.44,346,63.2,7.79,1.59
rr28,APT+BCH+DOGE,0.55,2,126.2,6.17,2.02,4.59,328,81.7,6.72,1.80
perpair,BCH+TON+WLD,0.55,2,125.6,7.95,1.94,4.34,353,67.0,7.68,1.60
rr28,BCH+ETH+SNX,0.6,2,125.5,6.93,2.03,4.47,304,92.8,6.87,1.78
rr40_sb20,APT+ENS+TON,0.45,2,125.4,7.63,1.92,4.35,358,68.1,7.89,1.67
perpair,BCH+ETH+LTC,0.55,2,125.0,7.93,2.02,4.21,316,77.7,5.73,1.68
rr28,APT+BCH+ENS,0.5,2,124.8,6.17,2.06,4.83,349,66.3,7.45,1.71
rr28,BCH+ETH+LTC,0.55,3,124.4,5.72,2.02,4.66,328,58.7,7.1,1.59
perpair,ETH+TON+XRP,0.45,3,124.4,7.56,2.03,4.36,341,46.9,7.33,1.55
default,LTC+TON+XRP,0.55,2,124.3,7.41,1.89,4.27,336,42.5,7.72,1.43
rr28,APT+BCH+ENS,0.5,3,124.2,6.72,2.02,4.71,359,68.5,7.7,1.69
perpair,DOGE+ETH+TON,0.5,2,124.2,5.57,1.97,4.22,338,55.9,6.98,1.57
rr28,ADA+BCH+LTC,0.6,2,124.2,6.53,1.88,4.4,330,80.3,7.64,1.63
perpair,BCH+ETH+VET,0.5,3,124.2,6.3,1.96,4.43,373,71.3,7.6,1.67
default,APT+ETH+LTC,0.55,2,124.1,6.51,1.97,4.2,328,65.6,7.61,1.60
rr28,ETH+LTC+SNX,0.55,2,124.1,6.57,2.01,4.64,328,57.4,7.43,1.51
rr28,BCH+ETH+LTC,0.55,2,124.0,5.72,2.06,4.73,322,58.1,6.67,1.61
thr06,1000PEPE+SNX+TON,0.55,2,124.0,7.77,1.83,4.18,367,85.3,7.47,1.56
default,ETH+LTC+TON,0.5,3,124.0,7.96,2.04,4.64,340,42.7,7.91,1.46
perpair,BNB+TON+XRP,0.5,2,123.9,6.3,2.00,4.31,313,40.7,6.77,1.50
perpair,DOGE+LTC+XRP,0.6,2,123.9,7.27,1.75,3.64,330,62.6,7.53,1.50
perpair,BCH+DOGE+ETH,0.5,2,123.9,6.98,1.98,4.24,351,59.0,7.3,1.56
perpair,APT+ETH+TON,0.45,3,123.8,5.92,2.11,4.94,348,58.3,7.76,1.65
rr28,APT+BNB+DOGE,0.6,2,123.8,7.17,1.79,3.97,347,69.4,7.52,1.61
perpair,BCH+ETH+VET,0.55,2,123.8,7.5,1.95,4.26,356,76.0,7.31,1.68
perpair,BCH+ETH+TON,0.45,3,123.2,6.93,2.13,4.94,344,59.1,5.59,1.66
rr28,ADA+LTC+TON,0.55,3,123.1,6.19,1.87,4.4,363,59.4,7.82,1.51
default,APT+ENS+TON,0.5,2,122.9,6.15,1.93,4.5,354,74.3,7.27,1.75
perpair,APT+BCH+TON,0.5,3,122.0,5.82,2.06,4.65,345,73.4,6.4,1.72
perpair,ETH+SNX+TON,0.45,3,121.4,6.79,2.03,4.52,356,61.3,6.57,1.56
rr28,APT+BNB+DOGE,0.55,3,121.3,7.02,1.81,3.99,364,60.3,7.69,1.58
perpair,DOGE+ETH+TON,0.45,3,121.0,4.95,1.97,4.4,368,47.4,7.21,1.51
perpair,ETH+LTC+TON,0.5,3,121.0,6.08,2.01,4.48,324,54.2,7.0,1.55
perpair,BNB+ETH+SNX,0.5,2,120.9,7.36,1.93,4.21,327,64.6,7.87,1.57
default,DOGE+ETH+TON,0.55,2,120.9,5.63,2.02,4.25,310,51.5,7.97,1.58
rr28,BCH+DOGE+TON,0.55,2,120.9,7.06,2.00,4.51,325,63.9,7.34,1.71
perpair,DOGE+ETH+HBAR,0.55,3,120.7,7.68,1.74,3.81,365,66.0,7.6,1.49
perpair,1000PEPE+BCH+TON,0.55,2,120.5,6.23,1.94,4.21,343,75.0,7.3,1.66
perpair,APT+BCH+DOGE,0.5,2,120.5,6.03,1.98,4.39,362,75.8,7.85,1.69
perpair,DOGE+TON+XRP,0.5,3,120.5,7.38,1.84,4.04,362,46.3,7.9,1.47
rr28,LTC+SNX+TON,0.5,3,120.4,5.41,1.99,4.85,357,57.5,7.92,1.52
perpair,BCH+ETH+TON,0.45,2,120.4,6.93,2.14,5.04,333,57.7,5.75,1.68
perpair,APT+BCH+TON,0.5,2,120.3,6.45,2.10,4.79,327,77.7,6.4,1.79
perpair,BNB+ETH+TON,0.45,3,120.1,5.53,2.07,4.72,327,41.4,6.87,1.53
perpair,APT+DOGE+XRP,0.5,2,119.6,5.17,1.87,4.35,353,60.5,6.48,1.58
perpair,BNB+TON+XRP,0.5,3,119.5,7.36,1.93,4.15,321,39.6,6.77,1.48
rr28,ADA+ETH+LTC,0.55,3,118.9,6.93,1.90,4.27,347,56.0,7.15,1.50
rr28,BNB+ETH+TON,0.55,3,118.9,6.89,1.89,4.19,343,40.4,7.15,1.47
perpair,ADA+APT+ETH,0.5,2,118.4,6.65,2.03,4.31,327,77.6,7.83,1.71
default,DOGE+TON+XRP,0.55,2,118.4,6.39,1.86,4.0,327,42.6,7.56,1.48
rr28,APT+DOGE+TON,0.55,2,118.2,7.08,1.94,4.34,332,66.2,7.97,1.68
perpair,DOGE+TON+XRP,0.5,2,118.1,5.61,1.90,4.15,342,48.3,7.37,1.50
rr28,APT+BCH+ETH,0.55,2,118.1,7.47,2.07,4.68,311,81.1,7.57,1.85
rr28,LTC+TON+XRP,0.55,3,118.1,7.61,1.84,4.18,356,43.0,6.84,1.44
perpair,1000PEPE+SNX+TON,0.5,2,118.0,7.12,1.96,4.42,350,68.6,7.2,1.55
perpair,LTC+TON+XRP,0.55,2,117.9,7.46,1.91,4.01,309,54.3,6.33,1.54
