label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr20,1000PEPE+ADA+APT+BCH,0.5,3,95.7,6.85,1.724,4.04,53.0,457,88.0,6.82,1.711
rr20,1000PEPE+ADA+APT+BCH,0.5,4,95.8,6.85,1.716,4.0,52.8,462,85.8,6.82,1.689
rr20,1000PEPE+ADA+APT+BNB,0.5,2,94.2,4.81,1.744,4.37,54.2,441,59.5,6.88,1.534
rr20,1000PEPE+ADA+APT+BNB,0.5,3,107.9,4.81,1.759,4.35,54.4,480,69.0,7.53,1.578
rr20,1000PEPE+ADA+APT+BNB,0.5,4,114.1,5.12,1.773,4.33,54.6,491,65.7,7.53,1.542
rr20,1000PEPE+ADA+APT+DOGE,0.5,2,85.9,7.26,1.733,4.11,52.9,414,70.0,7.13,1.650
rr20,1000PEPE+ADA+APT+DOGE,0.5,3,107.1,7.47,1.765,4.2,53.4,468,72.1,7.52,1.616
rr20,1000PEPE+ADA+APT+ETH,0.5,2,81.5,6.3,1.727,3.97,52.5,411,68.8,6.56,1.655
rr20,1000PEPE+ADA+APT+ETH,0.6,2,104.0,7.52,1.725,3.97,52.5,411,86.9,7.82,1.651
rr20,1000PEPE+ADA+APT+ETH,0.5,3,98.8,6.8,1.774,4.14,53.3,452,75.8,6.57,1.663
rr20,1000PEPE+ADA+APT+ETH,0.5,4,101.0,6.8,1.759,3.99,53.1,467,71.8,7.83,1.619
rr20,1000PEPE+ADA+APT+SNX,0.5,2,88.9,6.97,1.748,4.12,52.6,424,82.4,6.83,1.624
rr20,1000PEPE+ADA+APT+SNX,0.5,3,99.5,7.97,1.734,4.05,52.6,464,91.8,6.43,1.656
rr20,1000PEPE+ADA+APT+SNX,0.5,4,103.4,7.97,1.744,4.08,52.8,472,91.6,6.97,1.646
rr20,1000PEPE+ADA+APT+TON,0.5,2,101.9,5.92,1.820,4.44,54.0,437,67.1,7.81,1.583
rr20,1000PEPE+ADA+BCH+DOGE,0.5,2,85.6,6.51,1.737,4.27,53.3,409,72.7,5.79,1.705
rr20,1000PEPE+ADA+BCH+DOGE,0.6,2,109.4,7.76,1.729,4.27,53.3,409,92.1,6.92,1.702
rr20,1000PEPE+ADA+BCH+DOGE,0.5,3,90.2,7.09,1.672,4.03,52.5,455,74.2,6.72,1.660
rr20,1000PEPE+ADA+BCH+DOGE,0.5,4,94.0,7.0,1.681,4.03,52.7,463,74.5,6.72,1.658
rr20,1000PEPE+ADA+BCH+ETH,0.5,2,81.8,5.83,1.755,4.12,53.4,401,72.2,5.96,1.703
rr20,1000PEPE+ADA+BCH+ETH,0.6,2,104.3,6.96,1.753,4.12,53.4,401,91.5,7.12,1.696
rr20,1000PEPE+ADA+BCH+ETH,0.5,3,89.6,6.42,1.717,4.03,53.0,443,81.2,6.15,1.747
rr20,1000PEPE+ADA+BCH+ETH,0.6,3,114.8,7.67,1.712,4.03,53.0,443,103.5,7.34,1.742
rr20,1000PEPE+ADA+BCH+ETH,0.5,4,89.3,6.42,1.706,3.99,52.9,446,76.3,6.81,1.686
rr20,1000PEPE+ADA+BCH+VET,0.5,3,94.9,5.96,1.687,4.08,52.4,483,79.2,7.94,1.639
rr20,1000PEPE+ADA+BCH+WLD,0.5,2,80.7,6.82,1.681,4.03,52.0,427,66.1,7.75,1.601
rr20,1000PEPE+ADA+BNB+DOGE,0.5,2,91.4,5.79,1.726,4.29,54.2,435,49.7,7.53,1.499
rr20,1000PEPE+ADA+BNB+DOGE,0.5,3,107.9,6.18,1.729,4.26,54.4,482,54.7,6.84,1.502
rr20,1000PEPE+ADA+BNB+DOGE,0.5,4,112.0,6.18,1.735,4.22,54.5,492,55.5,7.25,1.504
rr20,1000PEPE+ADA+BNB+ETH,0.5,2,89.4,5.09,1.737,4.32,54.3,429,52.0,6.26,1.526
rr20,1000PEPE+ADA+BNB+ETH,0.6,2,114.5,6.09,1.732,4.32,54.3,429,64.9,7.47,1.521
rr20,1000PEPE+ADA+BNB+ETH,0.5,3,101.3,5.46,1.743,4.27,54.5,466,58.6,7.0,1.555
rr20,1000PEPE+ADA+BNB+ETH,0.5,4,106.8,5.27,1.765,4.29,54.7,475,57.2,7.66,1.528
rr20,1000PEPE+ADA+BNB+SNX,0.5,2,89.2,5.46,1.698,4.21,53.4,442,66.2,6.53,1.549
rr20,1000PEPE+ADA+BNB+SNX,0.6,2,114.3,6.53,1.692,4.21,53.4,442,83.5,7.8,1.538
