label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr22f,1000PEPE+APT+SNX+BNB,0.5,2,107.9,6.07,1.809,4.48,52.5,436,65.7,6.9,1.524
rr22f,1000PEPE+APT+SNX+TON,0.5,2,122.2,5.16,1.940,5.08,53.2,427,75.0,6.44,1.574
rr22f,1000PEPE+APT+SNX+TON,0.6,2,159.8,6.16,1.938,5.08,53.2,427,95.1,7.71,1.558
rr22f,1000PEPE+APT+SNX+TON,0.5,3,137.4,6.65,1.938,4.94,53.1,467,78.7,7.49,1.578
rr22f,1000PEPE+APT+SNX+TON,0.5,4,139.3,6.65,1.936,4.91,53.1,473,77.9,7.49,1.566
rr22f,1000PEPE+APT+SNX+ETH,0.5,2,101.7,7.5,1.865,4.6,52.1,405,69.5,7.77,1.563
rr22f,1000PEPE+APT+BNB+TON,0.5,2,120.0,4.78,1.867,4.8,53.7,447,52.3,6.51,1.487
rr22f,1000PEPE+APT+BNB+TON,0.6,2,156.7,5.72,1.865,4.8,53.7,447,65.2,7.77,1.483
rr22f,1000PEPE+APT+BNB+TON,0.5,3,139.4,4.97,1.900,4.84,54.0,483,53.9,7.47,1.472
rr22f,1000PEPE+APT+BNB+TON,0.5,4,143.9,4.97,1.911,4.93,54.2,489,53.5,7.96,1.465
rr22f,1000PEPE+APT+BNB+LTC,0.5,2,119.1,4.85,1.828,4.88,53.7,447,48.0,7.66,1.437
rr22f,1000PEPE+APT+BNB+LTC,0.5,3,139.6,4.85,1.861,4.97,54.0,487,54.6,7.47,1.461
rr22f,1000PEPE+APT+BNB+ETH,0.5,2,101.1,4.61,1.805,4.35,52.7,423,54.4,7.44,1.521
rr22f,1000PEPE+APT+BNB+DOGE,0.5,2,104.2,5.81,1.791,4.36,52.7,433,53.1,7.57,1.510
rr22f,1000PEPE+APT+BNB+DOGE,0.5,3,124.5,5.78,1.818,4.4,53.0,477,55.3,7.21,1.486
rr22f,1000PEPE+APT+BNB+DOGE,0.5,4,131.0,5.78,1.836,4.41,53.2,485,53.4,7.38,1.469
rr22f,1000PEPE+APT+BNB+VET,0.5,2,102.5,5.72,1.750,4.32,51.6,457,49.1,7.73,1.456
rr22f,1000PEPE+APT+TON+BCH,0.5,2,121.5,5.88,1.938,5.09,53.8,424,75.3,6.75,1.672
rr22f,1000PEPE+APT+TON+BCH,0.5,3,136.3,5.96,1.947,4.95,53.8,459,73.2,7.41,1.628
rr22f,1000PEPE+APT+TON+BCH,0.5,4,137.7,5.96,1.946,4.98,53.8,463,74.5,7.91,1.630
rr22f,1000PEPE+APT+TON+LTC,0.5,3,154.0,5.34,1.953,5.51,54.2,485,62.1,7.47,1.515
rr22f,1000PEPE+APT+TON+LTC,0.5,4,157.7,5.86,1.956,5.5,54.1,495,60.6,7.47,1.494
rr22f,1000PEPE+APT+TON+ETH,0.5,2,123.1,5.07,1.962,5.05,53.8,424,66.1,5.92,1.640
rr22f,1000PEPE+APT+TON+ETH,0.6,2,161.0,6.06,1.962,5.05,53.8,424,83.3,7.07,1.634
rr22f,1000PEPE+APT+TON+ETH,0.5,3,125.7,6.11,1.908,4.73,53.0,455,62.4,7.02,1.564
rr22f,1000PEPE+APT+TON+ETH,0.5,4,135.4,6.1,1.941,4.79,53.4,466,60.6,7.02,1.539
rr22f,1000PEPE+APT+TON+DOGE,0.5,2,124.6,6.09,1.937,5.02,53.6,431,59.6,7.37,1.562
rr22f,1000PEPE+APT+BCH+LTC,0.5,3,141.1,5.99,1.931,5.36,54.1,464,77.0,7.07,1.621
rr22f,1000PEPE+APT+BCH+LTC,0.5,4,137.8,5.99,1.895,5.2,53.6,470,76.2,7.08,1.610
rr22f,1000PEPE+APT+BCH+ETH,0.5,2,113.2,5.01,1.962,4.94,53.7,406,75.1,6.38,1.700
rr22f,1000PEPE+APT+BCH+ETH,0.6,2,147.3,5.99,1.962,4.94,53.7,406,95.3,7.62,1.692
rr22f,1000PEPE+APT+BCH+ETH,0.5,3,114.1,5.56,1.870,4.63,52.8,436,80.4,6.85,1.712
rr22f,1000PEPE+APT+BCH+ETH,0.5,4,117.3,5.56,1.878,4.61,52.8,441,76.3,6.85,1.666
rr22f,1000PEPE+APT+BCH+DOGE,0.5,2,111.4,6.17,1.893,4.76,53.1,416,77.2,7.84,1.707
rr22f,1000PEPE+APT+BCH+DOGE,0.5,3,121.7,6.24,1.858,4.62,52.6,452,74.8,6.94,1.645
rr22f,1000PEPE+APT+BCH+DOGE,0.5,4,125.2,6.63,1.868,4.57,52.7,459,74.5,6.94,1.637
rr22f,1000PEPE+APT+LTC+ETH,0.5,2,123.9,5.99,1.923,5.27,54.0,428,57.2,7.61,1.538
rr22f,1000PEPE+APT+LTC+ETH,0.5,3,135.8,6.5,1.924,5.14,53.7,462,64.3,7.82,1.542
rr22f,1000PEPE+APT+LTC+ETH,0.5,4,135.4,6.5,1.891,5.02,53.3,473,62.0,7.82,1.521
rr22f,1000PEPE+APT+ETH+DOGE,0.5,2,94.6,6.83,1.808,4.36,51.9,401,65.3,6.71,1.638
rr22f,1000PEPE+APT+ETH+DOGE,0.5,3,120.1,7.49,1.873,4.42,52.6,447,62.4,7.0,1.561
rr22f,1000PEPE+APT+ETH+DOGE,0.5,4,123.0,7.49,1.860,4.3,52.4,462,60.4,7.85,1.543
rr22f,1000PEPE+APT+ETH+VET,0.5,3,122.6,7.48,1.867,4.55,52.0,473,64.6,7.34,1.546
rr22f,1000PEPE+APT+DOGE+VET,0.5,2,103.9,7.97,1.807,4.45,51.5,433,62.5,7.41,1.557
rr22f,1000PEPE+SNX+TON+DOGE,0.5,3,131.2,7.3,1.886,4.92,52.8,466,69.5,7.69,1.549
rr22f,1000PEPE+SNX+TON+DOGE,0.5,4,136.7,7.79,1.904,4.87,53.0,474,68.7,7.69,1.542
rr22f,1000PEPE+SNX+TON+VET,0.5,2,123.2,5.43,1.906,4.99,52.6,452,76.3,7.41,1.599
rr22f,1000PEPE+SNX+BCH+ETH,0.5,2,102.6,6.94,1.883,4.82,52.9,401,83.9,7.59,1.728
rr22f,1000PEPE+SNX+BCH+DOGE,0.5,2,106.9,7.82,1.858,4.81,52.5,411,84.1,7.58,1.716
rr22f,1000PEPE+SNX+BCH+DOGE,0.5,3,116.6,7.86,1.849,4.69,52.4,443,84.9,7.84,1.661
rr22f,1000PEPE+SNX+BCH+DOGE,0.5,4,118.6,7.86,1.842,4.63,52.3,449,85.3,7.84,1.661
rr22f,1000PEPE+SNX+LTC+ETH,0.5,2,110.2,7.07,1.859,4.97,52.9,418,65.6,7.74,1.560
