label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr24nt4,1000PEPE+APT+BNB+DOGE,0.55,3,144.5,7.1,1.757,4.21,50.5,475,71.8,7.85,1.521
rr24nt4,1000PEPE+APT+BCH+DOGE,0.55,3,147.9,6.76,1.872,4.53,50.7,448,96.6,7.36,1.683
rr24nt4,1000PEPE+APT+BCH+DOGE,0.55,4,146.3,7.08,1.841,4.42,50.3,455,96.3,7.36,1.676
rr24nt4,1000PEPE+APT+ETH+ADA,0.55,2,105.9,6.71,1.750,4.06,48.7,398,88.8,7.19,1.668
rr24nt4,1000PEPE+APT+ETH+ADA,0.6,2,119.5,7.3,1.747,4.06,48.7,398,99.8,7.82,1.665
rr24nt4,1000PEPE+APT+DOGE+ADA,0.55,2,113.9,7.75,1.770,4.19,49.4,401,86.6,7.95,1.631
rr24nt4,1000PEPE+APT+DOGE+ADA,0.55,3,130.4,7.79,1.734,4.03,48.8,457,95.0,7.85,1.618
rr24nt4,1000PEPE+BNB+BCH+DOGE,0.55,3,140.1,6.75,1.783,4.44,51.1,456,74.3,7.81,1.581
rr24nt4,1000PEPE+BNB+BCH+DOGE,0.55,4,142.8,6.75,1.778,4.37,51.1,462,77.2,7.81,1.591
rr24nt4,1000PEPE+BCH+LTC+ETH,0.55,2,138.8,5.71,1.886,5.01,51.9,414,82.0,6.67,1.644
rr24nt4,1000PEPE+BCH+LTC+ETH,0.6,2,158.0,6.21,1.882,5.01,51.9,414,91.9,7.26,1.638
rr24nt4,1000PEPE+BCH+LTC+ETH,0.65,2,178.7,6.72,1.878,5.01,51.9,414,102.2,7.84,1.632
rr24nt4,1000PEPE+BCH+ETH+DOGE,0.55,2,117.5,6.05,1.883,4.52,50.9,389,84.0,6.41,1.733
rr24nt4,1000PEPE+BCH+ETH+DOGE,0.6,2,133.0,6.59,1.882,4.52,50.9,389,94.2,6.97,1.732
rr24nt4,1000PEPE+BCH+ETH+DOGE,0.65,2,149.6,7.12,1.881,4.52,50.9,389,105.0,7.54,1.730
rr24nt4,1000PEPE+BCH+ETH+VET,0.55,2,118.6,7.95,1.872,4.57,49.6,419,90.9,7.36,1.723
rr24nt4,1000PEPE+BCH+DOGE+VET,0.55,2,130.3,6.93,1.884,4.73,50.2,426,75.1,6.15,1.601
rr24nt4,1000PEPE+BCH+DOGE+VET,0.6,2,148.0,7.54,1.886,4.73,50.2,426,84.0,6.71,1.599
rr24nt4,1000PEPE+LTC+ETH+VET,0.55,2,128.1,6.87,1.796,4.61,49.8,444,65.6,7.04,1.526
rr24nt4,1000PEPE+LTC+ETH+VET,0.6,2,145.4,7.47,1.795,4.61,49.8,444,73.1,7.66,1.523
rr24nt4,1000PEPE+ETH+DOGE+ADA,0.55,2,96.6,7.35,1.689,3.92,48.7,386,79.7,7.27,1.644
rr24nt4,APT+BNB+BCH+ETH,0.55,2,143.4,7.43,1.933,4.85,52.7,423,76.5,7.7,1.604
rr24nt4,APT+BNB+BCH+ETH,0.55,3,155.1,7.43,1.921,4.91,52.8,445,77.2,7.86,1.587
rr24nt4,APT+BNB+BCH+ETH,0.55,4,157.0,7.43,1.913,4.87,52.8,449,80.3,7.86,1.603
rr24nt4,APT+BCH+ETH+ADA,0.55,3,131.2,6.75,1.825,4.37,50.2,436,108.8,7.5,1.741
rr24nt4,APT+BCH+ETH+ADA,0.55,4,134.7,6.75,1.835,4.39,50.3,439,104.6,7.72,1.700
rr24nt4,SNX+BCH+LTC+ETH,0.55,2,164.4,5.58,2.056,5.4,53.6,420,86.0,7.49,1.601
rr24nt4,SNX+BCH+ETH+DOGE,0.55,2,141.9,6.52,2.010,5.02,52.5,402,83.5,7.8,1.623
rr24nt4,BNB+BCH+LTC+ETH,0.55,2,157.3,7.13,1.944,5.17,53.7,434,57.8,7.09,1.473
rr24nt4,BNB+BCH+LTC+ETH,0.6,2,179.8,7.76,1.943,5.17,53.7,434,64.2,7.73,1.470
rr24nt4,BCH+LTC+ETH+ADA,0.55,2,141.8,7.95,1.889,4.98,52.0,419,68.8,7.84,1.534
rr24nt4,BCH+LTC+ETH+ADA,0.55,3,151.2,6.92,1.868,4.91,51.6,448,90.7,7.84,1.636
rr24nt4,BCH+LTC+DOGE+ADA,0.55,2,155.8,7.06,1.962,5.3,52.7,423,74.0,7.77,1.548
rr24nt4,BCH+LTC+DOGE+ADA,0.55,3,163.2,7.06,1.863,5.02,51.7,462,81.6,7.77,1.561
rr24nt4,BCH+LTC+DOGE+ADA,0.55,4,165.3,7.06,1.853,4.98,51.6,469,84.4,7.77,1.563
rr24nt4,BCH+ETH+VET+ADA,0.55,2,122.9,5.39,1.849,4.43,50.0,426,82.7,7.72,1.656
