label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr20f5,1000PEPE+APT+SNX+BNB+TON,0.5,2,154.6,5.11,1.916,5.4,56.4,537,77.7,7.32,1.521
rr20f5,1000PEPE+APT+SNX+BNB+TON,0.5,3,181.6,5.77,1.908,5.38,56.4,591,87.0,7.32,1.536
rr20f5,1000PEPE+APT+SNX+BNB+TON,0.5,4,198.1,5.73,1.950,5.42,56.8,607,84.6,7.76,1.513
rr20f5,1000PEPE+APT+SNX+BNB+BCH,0.5,2,133.8,7.18,1.827,5.02,55.3,523,92.9,7.38,1.608
rr20f5,1000PEPE+APT+SNX+BNB+LTC,0.5,2,151.2,5.75,1.898,5.55,56.3,533,79.7,7.92,1.544
rr20f5,1000PEPE+APT+SNX+BNB+VET,0.5,2,135.3,7.0,1.808,4.88,54.6,544,87.2,6.63,1.580
rr20f5,1000PEPE+APT+SNX+BNB+VET,0.5,3,170.6,7.62,1.858,5.08,55.3,606,88.1,7.21,1.527
rr20f5,1000PEPE+APT+SNX+TON+BCH,0.5,2,147.9,5.8,1.902,5.47,55.5,519,104.3,6.98,1.652
rr20f5,1000PEPE+APT+SNX+TON+BCH,0.5,3,170.6,6.44,1.920,5.41,55.8,565,104.4,7.71,1.620
rr20f5,1000PEPE+APT+SNX+TON+LTC,0.5,2,165.7,6.47,1.971,5.95,56.4,534,89.1,7.46,1.586
rr20f5,1000PEPE+APT+SNX+TON+LTC,0.5,4,199.9,7.08,1.933,5.9,56.2,609,96.4,7.38,1.567
rr20f5,1000PEPE+APT+SNX+TON+ETH,0.5,2,141.2,6.26,1.919,5.47,55.4,507,87.4,7.17,1.610
rr20f5,1000PEPE+APT+SNX+TON+ETH,0.5,3,171.4,7.74,1.946,5.41,55.6,566,96.9,6.79,1.626
rr20f5,1000PEPE+APT+SNX+TON+ETH,0.5,4,175.2,7.74,1.928,5.27,55.5,582,93.1,7.4,1.588
rr20f5,1000PEPE+APT+SNX+TON+DOGE,0.5,2,153.1,6.77,1.928,5.5,55.8,516,84.7,6.99,1.581
rr20f5,1000PEPE+APT+SNX+TON+DOGE,0.5,3,183.8,7.9,1.940,5.46,56.0,575,91.3,7.18,1.579
rr20f5,1000PEPE+APT+SNX+TON+VET,0.5,2,155.6,5.88,1.920,5.5,55.1,544,101.5,5.78,1.638
rr20f5,1000PEPE+APT+SNX+TON+VET,0.6,2,207.2,7.02,1.921,5.5,55.1,544,131.0,6.9,1.623
rr20f5,1000PEPE+APT+SNX+TON+VET,0.5,3,182.6,7.39,1.931,5.4,55.4,597,97.9,7.78,1.568
rr20f5,1000PEPE+APT+SNX+BCH+LTC,0.5,2,146.7,6.92,1.892,5.5,55.5,519,107.4,7.42,1.694
rr20f5,1000PEPE+APT+SNX+BCH+ETH,0.5,2,126.5,7.56,1.855,5.04,54.6,498,105.4,6.36,1.710
rr20f5,1000PEPE+APT+SNX+BCH+DOGE,0.5,2,133.4,7.55,1.831,4.96,54.9,505,104.7,7.15,1.701
rr20f5,1000PEPE+APT+SNX+BCH+VET,0.5,2,136.2,7.7,1.846,5.04,54.2,531,111.5,6.82,1.688
rr20f5,1000PEPE+APT+SNX+LTC+ETH,0.5,2,146.3,6.81,1.939,5.75,55.8,509,91.4,7.34,1.651
rr20f5,1000PEPE+APT+SNX+LTC+VET,0.5,2,154.8,6.43,1.920,5.49,55.4,534,98.6,7.06,1.645
rr20f5,1000PEPE+APT+SNX+ETH+DOGE,0.5,2,118.7,7.99,1.825,4.86,54.2,485,84.0,7.7,1.623
rr20f5,1000PEPE+APT+BNB+TON+ETH,0.5,2,151.3,4.93,1.933,5.35,56.5,529,68.3,7.95,1.565
rr20f5,1000PEPE+APT+BNB+TON+VET,0.5,2,161.1,4.67,1.906,5.5,56.1,565,65.0,7.38,1.503
rr20f5,1000PEPE+APT+BNB+BCH+ETH,0.5,2,134.2,5.48,1.885,5.12,56.0,513,75.8,7.95,1.586
rr20f5,1000PEPE+APT+BNB+BCH+ETH,0.5,3,157.9,5.54,1.879,5.18,56.2,562,86.2,7.87,1.623
rr20f5,1000PEPE+APT+BNB+BCH+ETH,0.5,4,163.8,5.54,1.877,5.19,56.2,576,86.2,7.87,1.615
rr20f5,1000PEPE+APT+BNB+BCH+DOGE,0.5,4,171.5,7.58,1.846,5.0,56.1,592,83.2,7.86,1.583
rr20f5,1000PEPE+APT+BNB+BCH+VET,0.5,2,136.7,6.36,1.838,5.17,55.1,544,77.1,7.21,1.566
rr20f5,1000PEPE+APT+BNB+BCH+VET,0.5,3,166.5,6.05,1.864,5.37,55.7,598,84.7,7.64,1.555
rr20f5,1000PEPE+APT+TON+BCH+LTC,0.5,3,187.3,5.44,1.938,5.79,56.6,585,86.7,7.88,1.584
rr20f5,1000PEPE+APT+TON+BCH+LTC,0.5,4,189.5,5.44,1.914,5.8,56.2,601,89.9,7.9,1.591
rr20f5,1000PEPE+APT+TON+BCH+ETH,0.5,2,152.8,5.62,1.973,5.59,56.3,513,88.8,6.5,1.688
rr20f5,1000PEPE+APT+TON+BCH+ETH,0.6,2,203.3,6.72,1.972,5.59,56.3,513,113.8,7.75,1.681
rr20f5,1000PEPE+APT+TON+BCH+ETH,0.5,3,165.0,5.29,1.929,5.26,55.9,560,87.9,7.75,1.640
rr20f5,1000PEPE+APT+TON+BCH+ETH,0.5,4,168.9,5.83,1.912,5.2,55.8,574,88.2,7.75,1.631
rr20f5,1000PEPE+APT+TON+BCH+VET,0.5,2,164.0,5.24,1.960,5.81,56.0,546,85.8,7.86,1.597
rr20f5,1000PEPE+APT+TON+LTC+ETH,0.5,2,161.4,5.81,1.950,5.93,56.5,531,72.0,7.94,1.592
rr20f5,1000PEPE+APT+TON+ETH+DOGE,0.5,2,133.6,6.94,1.887,5.14,55.3,501,74.5,6.72,1.642
rr20f5,1000PEPE+APT+BCH+LTC+ETH,0.5,2,149.3,5.12,1.922,5.69,56.3,517,84.2,7.99,1.660
rr20f5,1000PEPE+APT+BCH+LTC+DOGE,0.5,2,153.1,6.53,1.898,5.49,56.4,518,92.5,7.84,1.717
rr20f5,1000PEPE+APT+BCH+LTC+VET,0.5,3,172.3,6.83,1.874,5.58,55.4,598,98.0,7.68,1.637
rr20f5,1000PEPE+APT+BCH+ETH+DOGE,0.5,2,122.0,6.26,1.856,4.92,54.9,486,90.1,6.69,1.730
rr20f5,1000PEPE+APT+BCH+ETH+DOGE,0.6,2,159.4,7.47,1.851,4.92,54.9,486,115.5,7.99,1.730
