label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr24full15nt5,1000PEPE+APT+BCH+ETH+DOGE,0.55,2,156.4,6.66,1.904,4.91,50.9,470,122.2,6.47,1.748
rr24full15nt5,1000PEPE+APT+BCH+ETH+DOGE,0.6,2,178.7,7.25,1.903,4.91,50.9,470,138.5,7.04,1.745
rr24full15nt5,1000PEPE+APT+BCH+ETH+DOGE,0.65,2,202.9,7.83,1.902,4.91,50.9,470,155.9,7.61,1.741
rr24full15nt5,1000PEPE+APT+BCH+DOGE+XRP,0.55,2,159.9,7.34,1.831,4.8,50.4,490,120.8,6.85,1.745
rr24full15nt5,1000PEPE+APT+BCH+DOGE+XRP,0.6,2,182.9,7.98,1.826,4.8,50.4,490,136.9,7.45,1.742
rr24full15nt5,1000PEPE+APT+DOGE+ADA+XRP,0.55,2,131.9,6.5,1.704,4.33,48.7,472,103.4,7.25,1.629
rr24full15nt5,1000PEPE+APT+DOGE+ADA+XRP,0.6,2,149.8,7.08,1.698,4.33,48.7,472,116.6,7.89,1.627
rr24full15nt5,1000PEPE+APT+DOGE+HBAR+XRP,0.55,2,126.0,7.26,1.636,4.23,47.9,486,106.5,7.85,1.581
rr24full15nt5,1000PEPE+BCH+LTC+ETH+DOGE,0.55,2,184.4,6.92,1.933,5.45,52.4,483,96.7,7.38,1.614
rr24full15nt5,1000PEPE+BCH+LTC+ETH+VET,0.55,2,171.7,6.88,1.864,5.24,50.7,511,92.5,7.75,1.569
rr24full15nt5,1000PEPE+BCH+LTC+ETH+XRP,0.55,2,158.2,5.8,1.787,4.89,50.7,489,91.0,7.87,1.590
rr24full15nt5,1000PEPE+BCH+LTC+DOGE+XRP,0.55,2,179.1,6.97,1.830,5.19,51.5,495,96.8,7.24,1.613
rr24full15nt5,1000PEPE+BCH+LTC+DOGE+XRP,0.6,2,205.6,7.58,1.822,5.19,51.5,495,109.0,7.87,1.608
rr24full15nt5,1000PEPE+BCH+LTC+DOGE+XRP,0.55,3,200.3,7.45,1.797,5.03,50.8,555,97.6,7.07,1.563
rr24full15nt5,1000PEPE+BCH+LTC+DOGE+XRP,0.55,4,205.9,7.45,1.779,4.88,50.5,574,100.5,6.75,1.546
rr24full15nt5,1000PEPE+BCH+ETH+DOGE+VET,0.55,2,150.4,7.33,1.870,4.87,50.0,486,95.4,7.29,1.623
rr24full15nt5,1000PEPE+BCH+ETH+DOGE+VET,0.6,2,171.6,7.97,1.873,4.87,50.0,486,107.3,7.94,1.621
rr24full15nt5,1000PEPE+BCH+ETH+DOGE+ADA,0.55,2,134.8,6.65,1.811,4.61,49.9,453,111.8,7.86,1.703
rr24full15nt5,1000PEPE+BCH+ETH+DOGE+HBAR,0.55,3,153.4,7.21,1.699,4.44,49.0,527,112.4,6.91,1.599
rr24full15nt5,1000PEPE+BCH+ETH+DOGE+HBAR,0.6,3,175.0,7.85,1.694,4.44,49.0,527,126.9,7.52,1.595
rr24full15nt5,1000PEPE+BCH+ETH+DOGE+XRP,0.55,3,169.4,7.93,1.776,4.47,49.9,529,101.8,7.85,1.632
