label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr18exp12nt6,1000PEPE+APT+SNX+BNB+BCH+ADA,0.55,2,169.1,6.54,1.791,5.1,57.3,607,126.2,6.7,1.617
rr18exp12nt6,1000PEPE+APT+SNX+BNB+BCH+ADA,0.6,2,193.9,7.12,1.788,5.1,57.3,607,143.2,7.29,1.611
rr18exp12nt6,1000PEPE+APT+SNX+BNB+BCH+ADA,0.65,2,220.9,7.69,1.785,5.1,57.3,607,161.4,7.88,1.605
rr18exp12nt6,1000PEPE+APT+SNX+BNB+BCH+ADA,0.55,3,200.9,7.11,1.764,5.04,57.3,681,156.6,6.5,1.650
rr18exp12nt6,1000PEPE+APT+SNX+BNB+BCH+ADA,0.6,3,231.8,7.74,1.760,5.04,57.3,681,178.9,7.08,1.644
rr18exp12nt6,1000PEPE+APT+SNX+BNB+BCH+ADA,0.55,4,217.2,7.54,1.767,5.04,57.4,707,167.9,6.5,1.671
rr18exp12nt6,1000PEPE+APT+SNX+BNB+BCH+ENS,0.55,2,181.4,7.82,1.769,5.29,57.5,621,116.6,7.71,1.593
rr18exp12nt6,1000PEPE+APT+SNX+BNB+BCH+XRP,0.55,2,148.8,7.57,1.711,4.69,56.4,608,112.8,7.72,1.587
rr18exp12nt6,1000PEPE+APT+SNX+BNB+LTC+ADA,0.55,2,187.8,6.86,1.859,5.59,58.3,611,126.5,6.03,1.621
rr18exp12nt6,1000PEPE+APT+SNX+BNB+LTC+ADA,0.6,2,216.2,7.46,1.856,5.59,58.3,611,143.5,6.57,1.616
rr18exp12nt6,1000PEPE+APT+SNX+BNB+LTC+ADA,0.55,4,242.6,7.65,1.803,5.39,57.8,734,158.5,7.35,1.625
rr18exp12nt6,1000PEPE+APT+SNX+BNB+ETH+ADA,0.55,2,156.0,6.96,1.770,4.95,57.1,587,106.1,6.52,1.579
rr18exp12nt6,1000PEPE+APT+SNX+BNB+ETH+ADA,0.6,2,178.3,7.57,1.767,4.95,57.1,587,119.8,7.1,1.576
rr18exp12nt6,1000PEPE+APT+SNX+BNB+ETH+ENS,0.55,2,171.9,6.46,1.767,5.3,57.5,604,108.0,7.92,1.591
rr18exp12nt6,1000PEPE+APT+SNX+BNB+ETH+ENS,0.55,3,219.0,7.78,1.766,5.27,57.6,689,127.2,7.76,1.600
rr18exp12nt6,1000PEPE+APT+SNX+BNB+ETH+ENS,0.55,4,253.5,7.77,1.800,5.32,58.1,725,122.8,7.76,1.567
rr18exp12nt6,1000PEPE+APT+SNX+BNB+ETH+XRP,0.55,3,180.8,7.98,1.720,4.78,56.7,667,118.5,7.76,1.581
rr18exp12nt6,1000PEPE+APT+SNX+BNB+ETH+XRP,0.55,4,197.6,7.98,1.734,4.79,56.9,694,120.9,7.83,1.579
rr18exp12nt6,1000PEPE+APT+SNX+BNB+DOGE+ADA,0.55,2,154.0,7.78,1.746,4.82,56.8,593,108.8,7.86,1.580
rr18exp12nt6,1000PEPE+APT+SNX+BNB+VET+XRP,0.55,2,155.2,7.62,1.738,4.81,56.3,618,103.6,7.07,1.538
