label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr22,1000PEPE+ADA+APT,0.5,2,64.5,5.29,1.699,3.55,49.7,332,56.9,6.16,1.638
rr22,1000PEPE+ADA+APT,0.6,2,81.3,6.32,1.695,3.55,49.7,332,71.3,7.35,1.631
rr22,1000PEPE+ADA+APT,0.5,3,72.2,5.8,1.720,3.58,50.0,356,56.4,7.13,1.601
rr22,1000PEPE+ADA+DOGE,0.5,2,65.3,6.91,1.719,3.62,50.3,324,47.0,7.82,1.571
rr22,1000PEPE+ADA+DOGE,0.5,3,70.1,6.44,1.689,3.51,49.9,357,48.3,7.66,1.566
rr22,1000PEPE+ADA+ETH,0.5,2,63.3,5.95,1.736,3.65,50.6,316,50.3,6.59,1.645
rr22,1000PEPE+ADA+ETH,0.6,2,79.8,7.11,1.733,3.64,50.6,316,62.8,7.86,1.638
rr22,1000PEPE+ADA+ETH,0.5,3,64.2,6.52,1.686,3.45,49.9,339,49.9,7.24,1.604
rr22,1000PEPE+ADA+LTC,0.5,3,80.0,7.23,1.735,4.15,51.1,368,50.0,7.33,1.541
rr22,1000PEPE+ADA+TON,0.5,2,71.6,5.41,1.738,3.77,50.7,345,46.7,7.97,1.554
rr22,1000PEPE+APT+BCH,0.5,2,76.1,5.94,1.849,4.18,52.3,327,61.3,6.49,1.746
rr22,1000PEPE+APT+BCH,0.6,2,96.7,7.09,1.845,4.18,52.3,327,77.1,7.75,1.740
rr22,1000PEPE+APT+BCH,0.5,3,79.0,5.94,1.846,4.15,52.2,337,59.3,6.29,1.698
rr22,1000PEPE+APT+BCH,0.6,3,100.5,7.09,1.843,4.15,52.2,337,74.5,7.51,1.695
rr22,1000PEPE+APT+BNB,0.5,2,73.0,4.93,1.747,3.88,52.2,347,41.0,6.27,1.509
rr22,1000PEPE+APT+BNB,0.6,2,92.5,5.9,1.743,3.88,52.2,347,50.7,7.48,1.507
rr22,1000PEPE+APT+BNB,0.5,3,83.8,4.93,1.809,4.08,52.9,363,40.1,7.94,1.479
rr22,1000PEPE+APT+DOGE,0.5,2,78.1,6.68,1.836,4.05,51.9,335,46.6,5.56,1.576
rr22,1000PEPE+APT+DOGE,0.6,2,99.3,7.98,1.830,4.04,51.9,335,58.0,6.64,1.574
rr22,1000PEPE+APT+DOGE,0.5,3,83.9,6.68,1.830,3.91,51.7,358,45.0,5.7,1.540
rr22,1000PEPE+APT+DOGE,0.6,3,107.1,7.98,1.825,3.91,51.7,358,55.8,6.81,1.537
rr22,1000PEPE+APT+ENS,0.5,2,85.0,6.58,1.819,4.16,51.5,357,46.7,7.59,1.555
rr22,1000PEPE+APT+ETH,0.5,2,72.8,5.51,1.847,4.03,51.9,320,50.3,5.72,1.645
rr22,1000PEPE+APT+ETH,0.6,2,92.3,6.58,1.847,4.03,51.9,320,62.8,6.83,1.640
rr22,1000PEPE+APT+ETH,0.7,2,113.8,7.64,1.846,4.03,51.9,320,76.1,7.93,1.634
rr22,1000PEPE+APT+ETH,0.5,3,77.4,5.51,1.834,3.91,51.8,340,46.5,7.02,1.577
rr22,1000PEPE+APT+HBAR,0.5,2,55.2,6.31,1.590,3.28,48.3,327,51.9,7.34,1.542
rr22,1000PEPE+APT+TON,0.5,2,90.8,4.52,1.938,4.48,53.3,345,45.0,6.33,1.558
rr22,1000PEPE+APT+TON,0.6,2,116.6,5.41,1.936,4.48,53.3,345,55.9,7.6,1.551
rr22,1000PEPE+APT+TON,0.5,3,94.0,5.11,1.922,4.41,53.0,362,45.1,6.27,1.541
rr22,1000PEPE+APT+TON,0.6,3,120.9,6.11,1.923,4.41,53.0,362,56.0,7.5,1.534
rr22,1000PEPE+APT+WLD,0.5,2,74.4,5.76,1.778,3.92,50.6,344,39.4,5.93,1.486
rr22,1000PEPE+APT+WLD,0.6,2,94.4,6.87,1.773,3.92,50.6,344,48.7,7.08,1.482
rr22,1000PEPE+BCH+DOGE,0.5,2,71.7,5.86,1.814,4.08,52.0,321,47.8,6.81,1.643
rr22,1000PEPE+BCH+DOGE,0.5,3,77.1,5.4,1.812,4.08,52.1,338,51.1,5.95,1.663
rr22,1000PEPE+BCH+DOGE,0.6,3,98.0,6.45,1.805,4.08,52.1,338,63.8,7.11,1.660
rr22,1000PEPE+BCH+ETH,0.5,2,71.2,4.65,1.864,4.14,52.7,311,56.6,7.38,1.800
rr22,1000PEPE+BCH+HBAR,0.5,3,51.3,7.71,1.548,3.23,48.3,325,58.3,7.67,1.631
rr22,1000PEPE+BCH+LTC,0.5,2,83.8,5.4,1.861,4.64,53.4,337,51.8,6.85,1.642
rr22,1000PEPE+BCH+LTC,0.5,3,87.1,4.9,1.854,4.6,53.3,349,52.6,7.48,1.629
rr22,1000PEPE+BCH+SNX,0.5,2,70.9,6.23,1.809,4.1,51.6,320,71.8,7.59,1.790
rr22,1000PEPE+BCH+VET,0.5,2,73.7,4.93,1.786,4.21,51.1,348,54.4,7.74,1.665
rr22,1000PEPE+BCH+XRP,0.5,2,58.9,7.8,1.677,3.53,50.2,317,49.9,7.83,1.708
rr22,1000PEPE+BNB+DOGE,0.5,2,72.4,5.44,1.733,3.84,52.1,349,31.1,7.27,1.428
rr22,1000PEPE+BNB+DOGE,0.5,3,81.7,5.57,1.775,3.88,52.8,364,32.9,7.13,1.430
rr22,1000PEPE+BNB+ETH,0.5,2,69.1,5.29,1.752,3.86,52.6,331,35.2,7.5,1.496
rr22,1000PEPE+BNB+HBAR,0.5,2,51.2,7.4,1.510,3.01,48.8,342,35.1,6.56,1.403
rr22,1000PEPE+BNB+HBAR,0.5,3,55.3,7.4,1.535,3.1,49.3,351,39.3,7.23,1.431
rr22,1000PEPE+BNB+SNX,0.5,2,68.6,4.74,1.717,3.78,51.5,340,48.0,7.49,1.538
rr22,1000PEPE+BNB+TON,0.5,2,82.7,4.88,1.819,4.21,53.4,356,33.2,7.43,1.442
rr22,1000PEPE+DOGE+ENS,0.5,2,86.5,6.43,1.861,4.23,52.3,348,38.7,7.37,1.499
rr22,1000PEPE+DOGE+ETH,0.5,2,67.8,5.74,1.780,3.87,51.6,318,38.0,7.87,1.535
