label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr22t6,1000PEPE+ADA+APT,0.5,2,78.1,6.26,1.687,3.86,49.6,383,56.1,6.02,1.539
rr22t6,1000PEPE+ADA+APT,0.6,2,99.3,7.48,1.679,3.86,49.6,383,70.2,7.19,1.536
rr22t6,1000PEPE+ADA+APT,0.5,3,85.3,7.39,1.667,3.79,49.5,414,56.4,6.81,1.516
rr22t6,1000PEPE+ADA+BCH,0.5,3,70.9,6.72,1.620,3.67,49.1,387,72.8,7.73,1.673
rr22t6,1000PEPE+ADA+BNB,0.5,2,58.0,6.14,1.500,3.12,48.3,389,49.9,7.36,1.506
rr22t6,1000PEPE+ADA+BNB,0.5,3,67.2,6.14,1.534,3.22,49.0,410,52.1,7.99,1.506
rr22t6,1000PEPE+ADA+DOGE,0.5,2,68.6,7.57,1.626,3.59,48.9,370,53.6,6.92,1.538
rr22t6,1000PEPE+ADA+ENS,0.5,2,72.2,7.82,1.584,3.54,48.2,394,54.9,7.17,1.529
rr22t6,1000PEPE+ADA+ETH,0.5,2,67.6,5.84,1.629,3.52,49.3,365,64.8,6.37,1.655
rr22t6,1000PEPE+ADA+ETH,0.6,2,85.3,6.97,1.620,3.52,49.3,365,81.6,7.61,1.648
rr22t6,1000PEPE+ADA+LTC,0.5,2,65.7,7.52,1.561,3.62,48.3,385,56.3,7.96,1.540
rr22t6,1000PEPE+ADA+SNX,0.5,2,72.0,7.15,1.631,3.77,48.8,377,79.4,6.84,1.650
rr22t6,1000PEPE+ADA+SNX,0.5,3,73.6,7.66,1.595,3.64,48.4,399,81.5,7.86,1.640
rr22t6,1000PEPE+ADA+TON,0.5,2,74.5,5.64,1.631,3.76,49.2,394,54.9,7.31,1.546
rr22t6,1000PEPE+ADA+TON,0.5,3,81.9,5.7,1.638,3.85,49.4,419,56.7,6.48,1.552
rr22t6,1000PEPE+ADA+TON,0.6,3,104.3,6.8,1.631,3.85,49.4,419,71.1,7.77,1.544
rr22t6,1000PEPE+ADA+WLD,0.5,2,58.9,6.79,1.535,3.22,47.0,379,57.6,6.68,1.572
rr22t6,1000PEPE+ADA+WLD,0.5,3,64.2,5.84,1.521,3.26,46.8,410,58.4,6.06,1.554
rr22t6,1000PEPE+ADA+WLD,0.6,3,80.7,6.97,1.513,3.26,46.8,410,73.2,7.26,1.549
rr22t6,1000PEPE+APT+BCH,0.5,2,99.1,5.46,1.899,4.67,52.5,387,61.5,5.92,1.607
rr22t6,1000PEPE+APT+BCH,0.6,2,127.9,6.52,1.898,4.67,52.5,387,77.4,7.08,1.604
rr22t6,1000PEPE+APT+BCH,0.5,3,98.8,5.66,1.850,4.5,52.0,398,61.6,5.92,1.589
rr22t6,1000PEPE+APT+BCH,0.6,3,127.3,6.77,1.847,4.5,52.0,398,77.4,7.08,1.587
rr22t6,1000PEPE+APT+BNB,0.5,2,77.0,5.71,1.653,3.74,50.6,397,43.0,7.47,1.444
rr22t6,1000PEPE+APT+BNB,0.5,3,94.6,5.71,1.737,4.09,51.8,421,42.2,7.47,1.423
rr22t6,1000PEPE+APT+DOGE,0.5,2,99.7,5.63,1.882,4.51,52.3,386,46.5,6.67,1.475
rr22t6,1000PEPE+APT+DOGE,0.6,2,128.6,6.72,1.875,4.51,52.3,386,57.7,7.95,1.473
rr22t6,1000PEPE+APT+DOGE,0.5,3,105.3,6.75,1.830,4.27,51.5,421,43.4,6.67,1.429
rr22t6,1000PEPE+APT+ENS,0.5,2,97.6,6.66,1.771,4.35,50.7,410,48.2,5.97,1.477
rr22t6,1000PEPE+APT+ENS,0.6,2,125.7,7.95,1.761,4.35,50.7,410,60.0,7.15,1.475
rr22t6,1000PEPE+APT+ENS,0.5,3,105.9,7.36,1.748,4.28,50.6,441,47.8,6.62,1.456
rr22t6,1000PEPE+APT+ETH,0.5,2,92.8,6.25,1.857,4.41,52.2,377,55.2,6.87,1.567
rr22t6,1000PEPE+APT+ETH,0.5,3,101.4,6.62,1.840,4.33,52.0,406,52.7,6.87,1.524
rr22t6,1000PEPE+APT+LTC,0.5,2,96.1,7.73,1.803,4.58,51.5,400,43.1,7.07,1.440
rr22t6,1000PEPE+APT+TON,0.5,2,109.3,5.5,1.899,4.83,52.7,406,46.5,5.62,1.481
rr22t6,1000PEPE+APT+TON,0.6,2,141.9,6.57,1.897,4.83,52.7,406,57.8,6.71,1.477
rr22t6,1000PEPE+APT+TON,0.7,2,179.3,7.62,1.895,4.83,52.7,406,69.8,7.79,1.473
rr22t6,1000PEPE+APT+TON,0.5,3,111.6,6.01,1.854,4.72,52.1,430,46.6,5.67,1.469
rr22t6,1000PEPE+APT+TON,0.6,3,144.9,7.18,1.852,4.71,52.1,430,57.9,6.79,1.464
rr22t6,1000PEPE+APT+WLD,0.5,2,86.8,5.88,1.762,4.15,50.1,393,48.9,6.29,1.504
rr22t6,1000PEPE+APT+WLD,0.6,2,110.9,7.02,1.756,4.15,50.1,393,60.8,7.51,1.503
rr22t6,1000PEPE+APT+WLD,0.5,3,90.7,5.89,1.724,4.05,49.6,421,48.1,6.29,1.472
rr22t6,1000PEPE+APT+WLD,0.6,3,116.2,7.03,1.718,4.05,49.6,421,59.8,7.51,1.471
rr22t6,1000PEPE+APT+XRP,0.5,2,83.9,5.71,1.758,4.17,50.6,383,43.0,6.87,1.457
rr22t6,1000PEPE+APT+XRP,0.5,3,84.8,6.59,1.717,3.98,50.0,404,42.0,7.68,1.429
rr22t6,1000PEPE+BCH+DOGE,0.5,2,85.1,6.37,1.809,4.23,51.6,372,55.3,6.9,1.584
rr22t6,1000PEPE+BCH+DOGE,0.5,3,89.4,6.37,1.785,4.15,51.3,394,58.4,6.64,1.584
rr22t6,1000PEPE+BCH+DOGE,0.6,3,114.5,7.62,1.780,4.15,51.3,394,73.2,7.95,1.579
rr22t6,1000PEPE+BCH+ETH,0.5,2,86.5,5.4,1.857,4.41,52.5,362,67.5,6.53,1.715
rr22t6,1000PEPE+BCH+ETH,0.6,2,110.7,6.46,1.856,4.41,52.5,362,85.2,7.8,1.708
rr22t6,1000PEPE+BCH+ETH,0.5,3,85.8,6.13,1.793,4.21,51.7,379,68.6,7.29,1.694
rr22t6,1000PEPE+BCH+HBAR,0.5,3,71.9,7.4,1.632,3.89,49.1,391,67.8,7.26,1.586
rr22t6,1000PEPE+BCH+LTC,0.5,2,81.0,6.34,1.713,4.33,50.8,388,58.8,5.15,1.595
rr22t6,1000PEPE+BCH+LTC,0.6,2,103.3,7.57,1.707,4.33,50.8,388,73.8,6.17,1.589
rr22t6,1000PEPE+BCH+LTC,0.5,3,84.8,5.91,1.708,4.29,50.6,405,62.4,5.79,1.607
rr22t6,1000PEPE+BCH+LTC,0.6,3,108.3,7.06,1.704,4.29,50.6,405,78.5,6.93,1.604
rr22t6,1000PEPE+BCH+SNX,0.5,2,84.8,7.27,1.785,4.39,51.1,374,91.6,6.65,1.769
rr22t6,1000PEPE+BCH+SNX,0.5,3,86.3,7.27,1.768,4.33,50.9,383,87.6,7.61,1.718
rr22t6,1000PEPE+BCH+TON,0.5,2,88.1,6.34,1.794,4.44,51.5,390,59.1,6.48,1.616
rr22t6,1000PEPE+BCH+TON,0.6,2,112.9,7.57,1.795,4.44,51.5,390,74.2,7.74,1.607
rr22t6,1000PEPE+BCH+TON,0.5,3,95.2,6.34,1.811,4.47,51.9,403,61.9,6.53,1.631
rr22t6,1000PEPE+BCH+TON,0.6,3,122.5,7.57,1.811,4.47,51.9,403,77.9,7.8,1.622
rr22t6,1000PEPE+BCH+WLD,0.5,2,74.2,6.92,1.699,3.96,49.5,380,62.6,6.47,1.643
rr22t6,1000PEPE+BCH+WLD,0.5,3,76.1,7.56,1.676,3.85,49.2,394,63.6,7.05,1.631
rr22t6,1000PEPE+BCH+XRP,0.5,2,66.1,7.49,1.657,3.74,49.6,363,53.8,5.61,1.592
rr22t6,1000PEPE+BCH+XRP,0.5,3,70.4,7.49,1.663,3.7,49.6,377,56.9,6.2,1.591
rr22t6,1000PEPE+BNB+DOGE,0.5,2,69.3,5.74,1.597,3.44,49.9,395,36.8,6.91,1.409
rr22t6,1000PEPE+BNB+DOGE,0.5,3,85.3,4.76,1.678,3.74,51.1,417,39.4,6.68,1.413
rr22t6,1000PEPE+BNB+DOGE,0.6,3,108.8,5.7,1.671,3.74,51.1,417,48.6,7.98,1.409
rr22t6,1000PEPE+BNB+LTC,0.5,2,68.2,6.43,1.542,3.56,49.5,406,36.7,7.97,1.400
rr22t6,1000PEPE+BNB+LTC,0.5,3,80.7,6.43,1.616,3.78,50.5,428,43.1,7.1,1.440
rr22t6,1000PEPE+BNB+SNX,0.5,2,70.2,6.72,1.595,3.62,49.6,391,62.7,6.88,1.565
rr22t6,1000PEPE+BNB+SNX,0.5,3,82.3,6.72,1.662,3.88,50.7,406,65.3,7.43,1.561
rr22t6,1000PEPE+BNB+TON,0.5,2,82.9,5.21,1.687,3.99,51.2,410,40.9,5.84,1.448
rr22t6,1000PEPE+BNB+TON,0.6,2,105.8,6.22,1.687,3.99,51.2,410,50.5,6.98,1.441
rr22t6,1000PEPE+BNB+TON,0.5,3,91.1,5.21,1.708,4.11,51.6,426,42.5,6.55,1.455
rr22t6,1000PEPE+BNB+TON,0.6,3,116.8,6.22,1.705,4.1,51.6,426,52.6,7.84,1.449
rr22t6,1000PEPE+BNB+VET,0.5,2,81.8,6.93,1.681,3.83,50.5,422,39.0,7.59,1.416
rr22t6,1000PEPE+BNB+WLD,0.5,2,65.1,6.04,1.558,3.37,48.7,398,43.6,7.02,1.471
rr22t6,1000PEPE+DOGE+ENS,0.5,2,91.9,7.59,1.738,4.2,50.6,401,45.4,6.9,1.475
rr22t6,1000PEPE+DOGE+ETH,0.5,2,82.0,6.39,1.761,4.07,51.2,373,45.8,6.0,1.505
rr22t6,1000PEPE+DOGE+ETH,0.6,2,104.6,7.63,1.753,4.07,51.2,373,56.8,7.18,1.500
rr22t6,1000PEPE+DOGE+ETH,0.5,3,91.8,6.65,1.773,3.98,51.2,402,49.7,6.14,1.519
rr22t6,1000PEPE+DOGE+ETH,0.6,3,117.7,7.95,1.766,3.98,51.2,402,61.9,7.35,1.513
rr22t6,1000PEPE+DOGE+HBAR,0.5,2,71.8,6.86,1.640,3.73,48.8,385,47.9,7.53,1.444
rr22t6,1000PEPE+DOGE+HBAR,0.5,3,77.6,7.36,1.625,3.72,48.8,414,48.9,5.98,1.438
rr22t6,1000PEPE+DOGE+SNX,0.5,2,90.7,7.68,1.794,4.41,51.2,381,65.1,7.02,1.583
rr22t6,1000PEPE+DOGE+TON,0.5,2,91.8,5.17,1.782,4.35,51.2,400,40.9,7.94,1.437
rr22t6,1000PEPE+DOGE+TON,0.5,3,101.6,5.18,1.793,4.43,51.4,426,43.6,6.97,1.460
rr22t6,1000PEPE+DOGE+VET,0.5,2,94.2,7.18,1.832,4.38,51.1,405,47.5,6.14,1.492
rr22t6,1000PEPE+DOGE+VET,0.5,3,99.4,7.34,1.775,4.08,50.5,444,46.7,6.95,1.460
