pairs,risk_pct,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf,passes
1000PEPE+ADA+APT,0.45,63.9,5.25,1.62,3.06,346,76.8,7.57,1.77,no
1000PEPE+ADA+APT,0.5,72.8,5.81,1.62,3.06,346,88.1,8.39,1.76,no
1000PEPE+ADA+APT,0.55,82.2,6.37,1.62,3.06,346,100.0,9.2,1.76,no
1000PEPE+ADA+APT,0.6,92.0,6.93,1.61,3.06,346,112.5,10.01,1.75,no
1000PEPE+ADA+APT,0.65,102.3,7.48,1.61,3.06,346,125.8,10.81,1.75,no
1000PEPE+ADA+APT,0.7,113.1,8.03,1.61,3.06,346,139.9,11.61,1.74,no
1000PEPE+ADA+APT,0.75,124.4,8.58,1.61,3.06,346,154.8,12.41,1.74,no
1000PEPE+ADA+BCH,0.45,61.1,8.07,1.65,3.08,326,66.3,8.96,1.75,no
1000PEPE+ADA+BCH,0.5,69.5,8.92,1.65,3.08,326,75.7,9.91,1.75,no
1000PEPE+ADA+BCH,0.55,78.4,9.77,1.65,3.08,326,85.5,10.85,1.74,no
1000PEPE+ADA+BCH,0.6,87.7,10.61,1.65,3.08,326,95.9,11.79,1.74,no
1000PEPE+ADA+BCH,0.65,97.3,11.45,1.65,3.08,326,106.7,12.71,1.74,no
1000PEPE+ADA+BCH,0.7,107.5,12.27,1.65,3.08,326,118.1,13.63,1.74,no
1000PEPE+ADA+BCH,0.75,118.0,13.09,1.64,3.08,326,130.1,14.54,1.73,no
1000PEPE+ADA+BNB,0.45,60.7,7.62,1.56,2.79,349,49.9,9.81,1.55,no
1000PEPE+ADA+BNB,0.5,69.0,8.43,1.55,2.79,349,56.6,10.84,1.54,no
1000PEPE+ADA+BNB,0.55,77.7,9.25,1.55,2.78,349,63.5,11.86,1.54,no
1000PEPE+ADA+BNB,0.6,86.8,10.05,1.55,2.78,349,70.6,12.87,1.53,no
1000PEPE+ADA+BNB,0.65,96.3,10.86,1.54,2.78,349,78.0,13.87,1.53,no
1000PEPE+ADA+BNB,0.7,106.2,11.65,1.54,2.78,349,85.7,14.86,1.53,no
1000PEPE+ADA+BNB,0.75,116.5,12.44,1.54,2.78,349,93.7,15.84,1.52,no
1000PEPE+ADA+BTC,0.45,43.9,8.56,1.41,2.32,333,40.7,16.28,1.46,no
1000PEPE+ADA+BTC,0.5,49.5,9.47,1.41,2.32,333,46.0,17.95,1.45,no
1000PEPE+ADA+BTC,0.55,55.4,10.37,1.40,2.32,333,51.4,19.6,1.45,no
1000PEPE+ADA+BTC,0.6,61.4,11.26,1.40,2.32,333,57.0,21.22,1.44,no
1000PEPE+ADA+BTC,0.65,67.6,12.14,1.39,2.32,333,62.7,22.81,1.44,no
1000PEPE+ADA+BTC,0.7,74.0,13.02,1.39,2.32,333,68.6,24.38,1.44,no
1000PEPE+ADA+BTC,0.75,80.7,13.89,1.39,2.32,333,74.7,25.92,1.43,no
1000PEPE+ADA+DOGE,0.45,64.2,6.82,1.60,2.88,348,54.7,7.78,1.60,no
1000PEPE+ADA+DOGE,0.5,73.1,7.56,1.59,2.88,348,62.2,8.62,1.59,no
1000PEPE+ADA+DOGE,0.55,82.5,8.28,1.59,2.88,348,69.9,9.45,1.58,no
1000PEPE+ADA+DOGE,0.6,92.2,9.01,1.58,2.88,348,78.0,10.28,1.58,no
1000PEPE+ADA+DOGE,0.65,102.4,9.73,1.58,2.88,348,86.4,11.1,1.57,no
1000PEPE+ADA+DOGE,0.7,113.1,10.44,1.57,2.88,348,95.2,11.92,1.57,no
1000PEPE+ADA+DOGE,0.75,124.2,11.15,1.57,2.88,348,104.3,12.73,1.56,no
1000PEPE+ADA+ENS,0.45,80.9,11.28,1.68,3.28,370,58.0,11.18,1.60,no
1000PEPE+ADA+ENS,0.5,92.8,12.46,1.68,3.28,370,66.0,12.38,1.59,no
1000PEPE+ADA+ENS,0.55,105.4,13.63,1.67,3.28,370,74.4,13.57,1.58,no
1000PEPE+ADA+ENS,0.6,118.8,14.79,1.67,3.28,370,83.1,14.75,1.57,no
1000PEPE+ADA+ENS,0.65,132.8,15.94,1.66,3.28,370,92.2,15.92,1.57,no
