pair,oos_annual,oos_dd,oos_pf,oos_trades,is_annual,is_dd,is_pf,is_trades
ETHUSDT,38.2,6.13,2.18,100,14.7,7.49,1.53,89
SNXUSDT,39.3,6.22,2.09,110,27.9,9.98,1.60,138
TONUSDT,37.4,9.08,1.97,114,21.6,7.15,1.62,89
ENSUSDT,49.4,10.84,1.94,141,17.7,10.62,1.49,117
LTCUSDT,39.6,5.56,1.89,126,14.1,11.31,1.35,122
BCHUSDT,27.0,5.32,1.86,97,26.1,7.03,1.88,107
APTUSDT,31.2,5.38,1.76,117,36.8,5.6,1.96,135
XRPUSDT,29.8,6.05,1.75,110,8.2,7.03,1.29,89
WLDUSDT,30.2,10.27,1.75,121,9.5,9.16,1.25,109
DOGEUSDT,31.4,6.02,1.74,119,15.0,5.57,1.46,101
BNBUSDT,27.6,7.92,1.60,120,9.8,7.34,1.29,103
1000PEPEUSDT,21.8,5.88,1.55,113,22.6,9.6,1.72,106
ADAUSDT,22.5,6.62,1.55,116,27.7,9.31,1.68,127
VETUSDT,21.1,6.0,1.44,137,16.5,10.4,1.44,121
HBARUSDT,12.3,9.42,1.30,106,19.5,10.16,1.45,138
BTCUSDT,9.2,5.41,1.21,104,0.8,17.55,1.02,100
