strategy,pair,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf,is_trades
hybrid,1000PEPEUSDT,17.9,4.92,1.56,1.79,113,18.6,8.06,1.73,106
hybrid,ADAUSDT,18.5,5.54,1.55,1.76,116,22.7,7.81,1.69,127
hybrid,APTUSDT,25.5,4.5,1.76,2.46,117,30.0,4.68,1.96,135
hybrid,BCHUSDT,22.2,4.45,1.86,2.26,97,21.4,5.89,1.87,107
hybrid,BNBUSDT,22.6,6.63,1.60,1.98,120,8.2,6.16,1.29,103
hybrid,BTCUSDT,7.7,4.52,1.22,0.94,104,0.8,14.83,1.03,100
hybrid,DOGEUSDT,25.7,5.04,1.74,2.48,119,12.4,4.66,1.46,101
hybrid,ENSUSDT,39.9,9.11,1.95,3.11,141,14.7,8.92,1.49,117
hybrid,ETHUSDT,31.1,5.13,2.18,2.91,100,12.2,6.27,1.53,89
hybrid,HBARUSDT,10.2,7.91,1.31,1.04,106,16.1,8.53,1.45,138
hybrid,LTCUSDT,32.2,4.65,1.90,2.72,126,11.7,9.51,1.35,122
hybrid,SNXUSDT,31.9,5.21,2.10,3.0,110,22.9,8.38,1.61,138
hybrid,TONUSDT,30.4,7.62,1.98,2.63,114,17.8,5.99,1.63,89
hybrid,VETUSDT,17.4,5.02,1.44,1.74,137,13.7,8.72,1.44,121
hybrid,WLDUSDT,24.7,8.63,1.75,2.41,121,8.0,7.66,1.25,109
hybrid,XRPUSDT,24.4,5.06,1.76,2.39,110,6.9,5.88,1.29,89
supertrend,1000PEPEUSDT,5.3,13.25,1.15,0.39,149,14.8,7.24,1.52,148
supertrend,ADAUSDT,-15.1,23.73,0.62,-1.62,155,-6.9,15.92,0.79,166
supertrend,APTUSDT,-5.2,12.33,0.86,-0.54,153,-9.8,19.24,0.70,159
supertrend,BCHUSDT,-4.7,19.72,0.88,-0.62,171,2.1,16.57,1.06,150
supertrend,BNBUSDT,-5.0,15.76,0.88,-0.35,164,-11.7,20.95,0.66,161
supertrend,BTCUSDT,-12.2,17.39,0.66,-1.28,141,-3.7,17.96,0.88,148
supertrend,DOGEUSDT,-2.0,17.62,0.94,-0.17,143,-5.3,22.23,0.83,153
supertrend,ENSUSDT,-6.7,11.91,0.81,-0.81,161,-5.8,19.99,0.83,168
supertrend,ETHUSDT,-6.5,14.65,0.81,-0.55,145,-5.7,13.16,0.83,158
supertrend,HBARUSDT,-4.5,14.39,0.88,-0.54,168,15.7,12.46,1.50,165
supertrend,LTCUSDT,-18.5,24.82,0.51,-2.67,160,-16.3,26.41,0.51,156
supertrend,SNXUSDT,-11.0,17.57,0.68,-1.61,168,-0.6,12.8,0.98,166
supertrend,TONUSDT,6.6,27.66,1.19,0.32,149,-7.8,16.17,0.73,136
supertrend,VETUSDT,-10.5,15.4,0.70,-1.29,164,-4.0,21.06,0.85,150
supertrend,WLDUSDT,-1.3,10.17,0.96,-0.2,132,15.1,14.44,1.45,140
supertrend,XRPUSDT,-3.7,13.01,0.89,-0.29,138,-12.3,24.03,0.59,136
donchian,1000PEPEUSDT,24.4,8.64,1.41,1.44,316,24.0,11.14,1.43,330
donchian,ADAUSDT,7.0,9.18,1.12,0.63,318,2.5,15.98,1.05,352
donchian,APTUSDT,2.7,9.53,1.05,0.34,333,2.7,16.08,1.05,348
donchian,BCHUSDT,-4.0,23.79,0.93,-0.4,332,4.8,21.61,1.09,330
donchian,BNBUSDT,-8.1,17.9,0.87,-0.81,340,-8.9,22.92,0.85,355
donchian,BTCUSDT,-8.1,18.85,0.87,-0.78,326,-1.5,14.32,0.97,324
donchian,DOGEUSDT,10.3,12.99,1.15,0.87,332,-1.4,18.6,0.97,338
donchian,ENSUSDT,4.5,10.14,1.07,0.36,331,-9.1,28.14,0.84,373
donchian,ETHUSDT,8.6,9.98,1.14,0.69,302,-5.4,19.54,0.91,344
donchian,HBARUSDT,4.0,8.78,1.07,0.43,340,15.3,15.59,1.28,363
donchian,LTCUSDT,-6.6,19.03,0.90,-0.54,333,-10.2,26.52,0.82,342
donchian,SNXUSDT,6.8,10.39,1.11,0.61,344,4.3,15.05,1.09,363
donchian,TONUSDT,-0.9,12.87,0.98,-0.06,325,-7.8,22.32,0.84,302
donchian,VETUSDT,6.0,8.92,1.11,0.61,334,-1.5,19.11,0.97,347
donchian,WLDUSDT,21.0,5.68,1.40,1.72,308,11.4,8.47,1.23,304
donchian,XRPUSDT,16.8,8.95,1.29,1.35,317,-4.5,16.81,0.90,306
chandelier,1000PEPEUSDT,7.6,5.61,1.29,0.92,202,-1.9,7.21,0.92,234
chandelier,ADAUSDT,-1.5,10.48,0.95,-0.1,217,-2.2,8.74,0.91,234
chandelier,APTUSDT,2.3,4.88,1.09,0.37,204,-8.5,15.24,0.69,237
chandelier,BCHUSDT,-8.4,20.86,0.74,-1.4,234,-0.4,8.03,0.98,234
chandelier,BNBUSDT,-11.6,17.8,0.61,-2.13,210,-9.6,14.82,0.64,240
chandelier,BTCUSDT,-11.6,18.67,0.62,-2.38,215,-10.1,19.76,0.66,231
chandelier,DOGEUSDT,-5.7,10.84,0.79,-0.9,205,3.0,6.12,1.11,248
chandelier,ENSUSDT,-7.4,14.19,0.74,-1.33,222,-4.6,14.1,0.82,221
chandelier,ETHUSDT,-8.2,16.75,0.72,-1.3,223,-5.1,11.89,0.79,223
chandelier,HBARUSDT,-4.5,9.07,0.84,-0.62,219,6.0,4.26,1.27,232
chandelier,LTCUSDT,-9.7,20.54,0.73,-1.28,243,-3.7,9.98,0.87,237
chandelier,SNXUSDT,3.1,8.26,1.13,0.49,202,0.6,4.49,1.03,221
chandelier,TONUSDT,-3.0,11.09,0.89,-0.53,206,-2.5,6.08,0.90,193
chandelier,VETUSDT,-5.3,13.26,0.80,-0.84,208,-0.9,10.3,0.96,228
chandelier,WLDUSDT,6.0,5.73,1.24,0.75,201,-0.6,7.3,0.98,210
chandelier,XRPUSDT,-2.7,12.54,0.91,-0.31,216,-6.5,11.29,0.72,227
keltner_squeeze,1000PEPEUSDT,-3.8,13.03,0.93,-0.39,311,1.5,8.35,1.03,350
keltner_squeeze,ADAUSDT,-12.8,21.58,0.73,-1.62,283,-8.4,15.02,0.83,319
keltner_squeeze,APTUSDT,-14.7,21.0,0.70,-1.91,288,-12.7,19.95,0.75,339
