pairs,n_pairs,annual_return_pct,max_dd_pct,profit_factor,sharpe,winrate_pct,trades,signals_skipped,avg_corr,final_balance,long_pct,short_pct,best_month,best_month_pnl,worst_month,worst_month_pnl
ONDOUSDT+ETHUSDT+BCHUSDT,3,129.91,7.79,2.116,3.542,44.11,560,15,0.5559,1202239.17,46.6,53.4,2026-03,188197.74,2026-04,-66478.31
ONDOUSDT+ETHUSDT+TONUSDT,3,121.66,8.94,2.0485,3.321,43.48,552,22,0.533,1071694.15,43.5,56.5,2026-01,129828.63,2024-07,-8546.61
ONDOUSDT+ETHUSDT+XLMUSDT,3,115.86,14.4,1.9677,3.128,42.81,598,26,0.5488,995824.29,45.2,54.8,2026-01,120614.97,2024-10,-6536.07
ONDOUSDT+ETHUSDT+ZECUSDT,3,123.86,7.81,1.8436,3.471,42.59,587,16,0.4863,1108986.76,47.0,53.0,2025-10,136163.49,2026-04,-38079.43
ONDOUSDT+ETHUSDT+DOGEUSDT,3,102.58,11.02,1.8555,2.946,41.94,558,33,0.6701,819615.37,44.8,55.2,2026-01,104931.72,2024-07,-3983.03
ONDOUSDT+ETHUSDT+1000PEPEUSDT,3,108.28,9.49,1.8361,3.096,41.74,563,27,0.6249,895917.17,45.6,54.4,2026-03,73734.99,2025-04,-18098.36
ONDOUSDT+ETHUSDT+SUIUSDT,3,101.31,13.08,1.8707,3.044,40.86,580,30,0.6229,807752.73,46.0,54.0,2026-03,82924.25,2023-08,-10915.08
ONDOUSDT+ETHUSDT+ADAUSDT,3,117.25,9.18,1.8728,3.203,42.41,580,34,0.6535,1012965.82,43.1,56.9,2026-03,140892.96,2026-04,-25909.24
ONDOUSDT+BCHUSDT+TONUSDT,3,124.74,9.39,1.9727,3.615,43.4,576,13,0.437,1123208.66,45.3,54.7,2026-01,176004.65,2026-04,-26413.77
ONDOUSDT+BCHUSDT+XLMUSDT,3,122.08,12.38,1.9472,3.383,42.86,623,16,0.4456,1084004.31,46.4,53.6,2026-01,139834.8,2026-04,-29524.51
ONDOUSDT+BCHUSDT+ZECUSDT,3,138.45,8.63,1.8825,3.783,43.07,599,19,0.4022,1340576.41,49.2,50.8,2025-10,162701.83,2026-04,-91620.25
ONDOUSDT+BCHUSDT+DOGEUSDT,3,126.4,9.92,1.9909,3.522,42.88,590,16,0.5467,1148247.37,46.4,53.6,2026-01,158666.68,2026-04,-23845.67
